locus_tag,product_doerks,new_category,annot_method,Associations,Source,hyperlink to source page
Rv2624c,Universal stress protein UspA and related nucleotide-binding proteins ,C,Orthology,COG0589,eggnog.embl.de,COG0589
Rv2028c,Universal stress protein UspA and related nucleotide-binding proteins ,C,Orthology,COG0589,eggnog.embl.de,COG0589
Rv2042c,Nuclear transport factor 2,C,Orthology,NOG43666,eggnog.embl.de,NOG43666
Rv2559c,ATPase related to the helicase subunit of the Holliday junction resolvase,H,Orthology,COG2256,eggnog.embl.de,COG2256
Rv3228,Predicted GTPases,F,Orthology,COG1162,eggnog.embl.de,COG1162
Rv0791c,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",F,Orthology,COG2141,eggnog.embl.de,COG2141
Rv3072c,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",F,Orthology,COG2141,eggnog.embl.de,COG2141
Rv3192,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",F,Orthology,COG2141,eggnog.embl.de,COG2141
Rv3463,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",F,Orthology,COG2141,eggnog.embl.de,COG2141
Rv3079c,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",F,Orthology,COG2141,eggnog.embl.de,COG2141
Rv2061c,Predicted flavin-nucleotide-binding protein structurally related to pyridoxine 5-phosphate oxidase,H,Orthology,COG3576,eggnog.embl.de,COG3576
Rv1514c,Glycosyltransferases involved in cell wall biogenesis,A,Orthology,COG0463,eggnog.embl.de,COG0463
Rv1518,Glycosyltransferases involved in cell wall biogenesis,A,Orthology,COG0463,eggnog.embl.de,COG0463
Rv0992c,5-formyltetrahydrofolate cyclo-ligase,F,Orthology,COG0212,eggnog.embl.de,COG0212
Rv1593c,ADP-ribose pyrophosphatase,F,Orthology,COG1051,eggnog.embl.de,COG1051
Rv3698,Glutamate-Cysteine ligase,F,Orthology,NOG04167,eggnog.embl.de,NOG04167
Rv2718c,"Predicted transcriptional regulator, consists of a Zn-ribbon and ATP-cone domains",C,Orthology,COG1327,eggnog.embl.de,COG1327
Rv3433c,Predicted sugar kinase,F,Orthology,COG0063,eggnog.embl.de,COG0063
Rv2551c,"Type II secretory pathway, prepilin signal peptidase PulO and related peptidases",A,Orthology,COG1989,eggnog.embl.de,COG1989
Rv0784,Predicted deacetylase,F,Orthology,COG3233,eggnog.embl.de,COG3233
Rv3421c,"Inactive homolog of metal-dependent proteases, putative molecular chaperone",H,Orthology,COG1214,eggnog.embl.de,COG1214
Rv1066,Rhodanese-related sulfurtransferase,F,Orthology,COG0607,eggnog.embl.de,COG0607
Rv0390,Rhodanese-related sulfurtransferase,F,Orthology,COG0607,eggnog.embl.de,COG0607
Rv3627c,D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 4),A,Orthology,COG2027,eggnog.embl.de,COG2027
Rv2975c,Predicted kinase related to dihydroxyacetone kinase,F,Orthology,COG1461,eggnog.embl.de,COG1461
Rv2974c,Predicted kinase related to dihydroxyacetone kinase,F,Orthology,COG1461,eggnog.embl.de,COG1461
Rv1120c,"Adenylate cyclase, family 3 (some proteins contain HAMP domain)",F,Orthology,COG2114,eggnog.embl.de,COG2114
Rv3351c,FAD/FMN-containing dehydrogenases,F,Orthology,COG0277,eggnog.embl.de,COG0277
Rv3353c,FAD/FMN-containing dehydrogenases,F,Orthology,COG0277,eggnog.embl.de,COG0277
Rv3719,FAD/FMN-containing dehydrogenases,F,Orthology,COG0277,eggnog.embl.de,COG0277
Rv0127,"Uncharacterized protein, probably involved in trehalose biosynthesis",C,Orthology,COG3281,eggnog.embl.de,COG3281
Rv2478c,Single-stranded DNA-binding protein,C,Orthology,COG0629,eggnog.embl.de,COG0629
Rv1489A,"Methylmalonyl-CoA mutase, N-terminal domain/subunit",F,Orthology,COG1884,eggnog.embl.de,COG1884
Rv2425c,Protein containing von Willebrand factor type A (vWA) domain,C,Orthology,COG3552,eggnog.embl.de,COG3552
Rv0368c,Protein containing von Willebrand factor type A (vWA) domain,C,Orthology,COG3552,eggnog.embl.de,COG3552
Rv3218,Sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase,A,Orthology,COG1597,eggnog.embl.de,COG1597
Rv2475c,Predicted thioesterase ,F,Orthology,COG0824,eggnog.embl.de,COG0824
Rv0163,Predicted thioesterase ,F,Orthology,COG0824,eggnog.embl.de,COG0824
Rv2529,Nuclease,H,Orthology,NOG70635,eggnog.embl.de,NOG70635
Rv0525,"Fructose-2,6-bisphosphatase",F,Orthology,COG0406,eggnog.embl.de,COG0406
Rv2228c,"Fructose-2,6-bisphosphatase",F,Orthology,COG0406,eggnog.embl.de,COG0406
Rv2135c,"Fructose-2,6-bisphosphatase",F,Orthology,COG0406,eggnog.embl.de,COG0406
Rv2484c,Diacylglycerol O-acyltransferase,A,Orthology,NOG115053,eggnog.embl.de,NOG115053
Rv0387c,PPE-repeat proteins    ,D,Orthology,COG5651,eggnog.embl.de,COG5651
Rv3702c,Predicted glutamine amidotransferase,F,Orthology,COG0121,eggnog.embl.de,COG0121
Rv1061,Predicted glutamine amidotransferase,F,Orthology,COG0121,eggnog.embl.de,COG0121
Rv2795c,Predicted phosphohydrolases,F,Orthology,COG1409,eggnog.embl.de,COG1409
Rv2577,Predicted phosphohydrolases,F,Orthology,COG1409,eggnog.embl.de,COG1409
Rv2054,Dienelactone hydrolase and related enzymes,F,Orthology,COG0412,eggnog.embl.de,COG0412
Rv2047c,Nucleoside-diphosphate-sugar epimerases,F,Orthology,COG0451,eggnog.embl.de,COG0451
Rv1868,Nucleoside-diphosphate-sugar epimerases,F,Orthology,COG0451,eggnog.embl.de,COG0451
Rv3785,Nucleoside-diphosphate-sugar epimerases,F,Orthology,COG0451,eggnog.embl.de,COG0451
Rv2370c,Regulator of polyketide synthase expression,E,Orthology,COG2508,eggnog.embl.de,COG2508
Rv2242,Regulator of polyketide synthase expression,E,Orthology,COG2508,eggnog.embl.de,COG2508
Rv1194c,Regulator of polyketide synthase expression,E,Orthology,COG2508,eggnog.embl.de,COG2508
Rv1186c,Regulator of polyketide synthase expression,E,Orthology,COG2508,eggnog.embl.de,COG2508
Rv1429,Regulator of polyketide synthase expression,E,Orthology,COG2508,eggnog.embl.de,COG2508
Rv3272,Predicted acyl-CoA transferases/carnitine dehydratase,F,Orthology,COG1804,eggnog.embl.de,COG1804
Rv1367c,Beta-lactamase class C and other penicillin binding proteins,A,Orthology,COG1680,eggnog.embl.de,COG1680
Rv2257c,Beta-lactamase class C and other penicillin binding proteins,A,Orthology,COG1680,eggnog.embl.de,COG1680
Rv2554c,Predicted endonuclease involved in recombination (possible Holliday junction resolvase in Mycoplasmas and B. subtilis) ,H,Orthology,COG0816,eggnog.embl.de,COG0816
Rv1112,"Predicted GTPase, probable translation factor",H,Orthology,COG0012,eggnog.embl.de,COG0012
Rv1466,Predicted metal-sulfur cluster biosynthetic enzyme,F,Orthology,COG2151,eggnog.embl.de,COG2151
Rv3282,Nucleotide-binding protein implicated in inhibition of septum formation,C,Orthology,COG0424,eggnog.embl.de,COG0424
Rv0504c,UPF0336 protein,A,Orthology,NOG08314,eggnog.embl.de,NOG08314
Rv0038,Putative transcriptional regulator,C,Orthology,COG1678,eggnog.embl.de,COG1678
Rv3013,Amino acid-binding ACT protein,C,Orthology,NOG06574,eggnog.embl.de,NOG06574
Rv2133c,Phosphatidylinositol 3- and 4-kinase,A,Orthology,NOG05781,eggnog.embl.de,NOG05781
Rv2414c,Predicted membrane metal-binding protein,A,Orthology,COG0658,eggnog.embl.de,COG0658
Rv2868c,Enzyme involved in the deoxyxylulose pathway of isoprenoid biosynthesis,F,Orthology,COG0821,eggnog.embl.de,COG0821
Rv1711,16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases,H,Orthology,COG1187,eggnog.embl.de,COG1187
Rv0911,Predicted enzyme related to lactoylglutathione lyase,F,Orthology,COG3324,eggnog.embl.de,COG3324
Rv0577,Predicted enzyme related to lactoylglutathione lyase,F,Orthology,COG3324,eggnog.embl.de,COG3324
Rv0106,Putative GTPases (G3E family),F,Orthology,COG0523,eggnog.embl.de,COG0523
Rv3811,Uncharacterized protein potentially involved in peptidoglycan biosynthesis,A,Orthology,COG5479,eggnog.embl.de,COG5479
Rv0356c,Thioesterase,F,Orthology,NOG09164,eggnog.embl.de,NOG09164
Rv1354c,FOG- GAF domain,C,Orthology,COG2203,eggnog.embl.de,COG2203
Rv2305,Uncharacterized protein containing a NRPS condensation (elongation) domain,A,Orthology,COG4908,eggnog.embl.de,COG4908
Rv1673c,"Transglutaminase-like enzymes, putative cysteine proteases",F,Orthology,COG1305,eggnog.embl.de,COG1305
Rv0790c,"Transglutaminase-like enzymes, putative cysteine proteases",F,Orthology,COG1305,eggnog.embl.de,COG1305
Rv2566,"Transglutaminase-like enzymes, putative cysteine proteases",F,Orthology,COG1305,eggnog.embl.de,COG1305
Rv2409c,"Transglutaminase-like enzymes, putative cysteine proteases",F,Orthology,COG1305,eggnog.embl.de,COG1305
Rv2569c,"Transglutaminase-like enzymes, putative cysteine proteases",F,Orthology,COG1305,eggnog.embl.de,COG1305
Rv0787A,"Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component",F,Orthology,COG1828,eggnog.embl.de,COG1828
Rv2923c,"Predicted redox protein, regulator of disulfide bond formation",F,Orthology,COG1765,eggnog.embl.de,COG1765
Rv1977,Zn-dependent protease with chaperone function,H,Orthology,COG0501,eggnog.embl.de,COG0501
Rv1372,Predicted naringenin-chalcone synthase,F,Orthology,COG3424,eggnog.embl.de,COG3424
Rv2532c,Transcription termination factor,H,Orthology,COG0781,eggnog.embl.de,COG0781
Rv2216,Predicted nucleoside-diphosphate sugar epimerase,F,Orthology,COG1090,eggnog.embl.de,COG1090
Rv1262c,Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases,F,Orthology,COG0537,eggnog.embl.de,COG0537
Rv0759c,Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases,F,Orthology,COG0537,eggnog.embl.de,COG0537
Rv3394c,Nucleotidyltransferase/DNA polymerase involved in DNA repair  ,H,Orthology,COG0389,eggnog.embl.de,COG0389
Rv3237c,"Putative regulatory, ligand-binding protein related to C-terminal domains of K+ channels",A,Orthology,COG0490,eggnog.embl.de,COG0490
Rv1767,Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit  ,F,Orthology,COG0599,eggnog.embl.de,COG0599
Rv3404c,Methionyl-tRNA formyltransferase,H,Orthology,COG0223,eggnog.embl.de,COG0223
Rv0730,N-Acetyltransferase,F,Orthology,NOG10649,eggnog.embl.de,NOG10649
Rv0923c,Phage-related replication protein,G,Orthology,COG4195,eggnog.embl.de,COG4195
Rv3076,Cyclase/Dehydrase ,F,Orthology,NOG77972,eggnog.embl.de,NOG77972
Rv2998A,Signal transduction histidine kinase,C,Orthology,COG0642,eggnog.embl.de,COG0642
Rv3365c,Signal transduction histidine kinase,C,Orthology,COG0642,eggnog.embl.de,COG0642
Rv1533,Dioxygenases related to 2-nitropropane dioxygenase,F,Orthology,COG2070,eggnog.embl.de,COG2070
Rv1894c,Dioxygenases related to 2-nitropropane dioxygenase,F,Orthology,COG2070,eggnog.embl.de,COG2070
Rv0021c,Dioxygenases related to 2-nitropropane dioxygenase,F,Orthology,COG2070,eggnog.embl.de,COG2070
Rv1000c,Alkylated DNA repair protein ,H,Orthology,COG3145,eggnog.embl.de,COG3145
Rv2184c,Oxyanion-translocating ATPase,F,Orthology,COG0003,eggnog.embl.de,COG0003
Rv2840c,Predicted nucleic-acid-binding protein implicated in transcription termination,H,Orthology,COG2740,eggnog.embl.de,COG2740
Rv0323c,"Uncharacterized proteins, LmbE homologs",A,Orthology,COG2120,eggnog.embl.de,COG2120
Rv1998c,PEP phosphonomutase and related enzymes,F,Orthology,COG2513,eggnog.embl.de,COG2513
Rv3683,Predicted phosphohydrolases,F,Orthology,COG1408,eggnog.embl.de,COG1408
Rv3510c,Predicted metal-dependent hydrolase of the TIM-barrel fold,F,Orthology,COG2159,eggnog.embl.de,COG2159
Rv1879,Predicted metal-dependent hydrolase of the TIM-barrel fold,F,Orthology,COG2159,eggnog.embl.de,COG2159
Rv2469c,Restriction endonuclease,H,Orthology,COG1403,eggnog.embl.de,COG1403
Rv3074,Endonuclease,H,Orthology,NOG85982,eggnog.embl.de,NOG85982
Rv1378c,Endonuclease,H,Orthology,NOG85982,eggnog.embl.de,NOG85982
Rv2817c,Uncharacterized protein predicted to be involved in DNA repair,H,Orthology,COG1518,eggnog.embl.de,COG1518
Rv1525,Predicted glycosyltransferases,F,Orthology,COG1216,eggnog.embl.de,COG1216
Rv2323c,N-Dimethylarginine dimethylaminohydrolase,F,Orthology,COG1834,eggnog.embl.de,COG1834
Rv2565,Predicted esterase of the alpha-beta hydrolase superfamily,F,Orthology,COG1752,eggnog.embl.de,COG1752
Rv1063c,Predicted esterase of the alpha-beta hydrolase superfamily,F,Orthology,COG1752,eggnog.embl.de,COG1752
Rv1062,Predicted esterase of the alpha-beta hydrolase superfamily,F,Orthology,COG1752,eggnog.embl.de,COG1752
Rv0498,Sugar phosphate isomerases/epimerases ,F,Orthology,COG1082,eggnog.embl.de,COG1082
Rv2229c,"Zn-ribbon protein, possibly nucleic acid-binding",C,Orthology,COG1579,eggnog.embl.de,COG1579
Rv0822c,Transcriptional regulator,C,Orthology,COG1316,eggnog.embl.de,COG1316
Rv3484,Transcriptional regulator,C,Orthology,COG1316,eggnog.embl.de,COG1316
Rv3267,Transcriptional regulator,C,Orthology,COG1316,eggnog.embl.de,COG1316
Rv2515c,Predicted Zn peptidase,F,Orthology,COG2856,eggnog.embl.de,COG2856
Rv0906,Predicted Zn-dependent hydrolases of the beta-lactamase fold,F,Orthology,COG2220,eggnog.embl.de,COG2220
Rv0786c,Predicted Zn-dependent hydrolases of the beta-lactamase fold,F,Orthology,COG2220,eggnog.embl.de,COG2220
Rv3818,Predicted Zn-dependent hydrolases of the beta-lactamase fold,F,Orthology,COG2220,eggnog.embl.de,COG2220
Rv3577,Predicted Zn-dependent hydrolases of the beta-lactamase fold,F,Orthology,COG2220,eggnog.embl.de,COG2220
Rv3338,Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,F,Orthology,COG0596,eggnog.embl.de,COG0596
Rv1191,Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,F,Orthology,COG0596,eggnog.embl.de,COG0596
Rv3337,Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,F,Orthology,COG0596,eggnog.embl.de,COG0596
Rv3312c,Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,F,Orthology,COG0596,eggnog.embl.de,COG0596
Rv2695,Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,F,Orthology,COG0596,eggnog.embl.de,COG0596
Rv1190,Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) ,F,Orthology,COG0596,eggnog.embl.de,COG0596
Rv2638,Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor),C,Orthology,COG1366,eggnog.embl.de,COG1366
Rv1904,Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor),C,Orthology,COG1366,eggnog.embl.de,COG1366
Rv1277,DNA repair exonuclease,H,Orthology,COG0420,eggnog.embl.de,COG0420
Rv2694c,"Nucleic acid binding, OB-fold,tRNA/helicase-type",H,Orthology,NOG14932,eggnog.embl.de,NOG14932
Rv1232c,Mg/Co/Ni transporter MgtE (contains CBS domain),A,Orthology,COG2239,eggnog.embl.de,COG2239
Rv1204c,Regulator protein ,C,Orthology,NOG14445,eggnog.embl.de,NOG14445
Rv2292c,Nucleoside phosphorylase,F,Orthology,COG0775,eggnog.embl.de,COG0775
Rv2293c,Nucleoside phosphorylase,F,Orthology,COG0775,eggnog.embl.de,COG0775
Rv3254,Monooxygenase,F,Orthology,NOG07359,eggnog.embl.de,NOG07359
Rv2298,Predicted oxidoreductases (related to aryl-alcohol dehydrogenases),F,Orthology,COG0667,eggnog.embl.de,COG0667
Rv2402,Glucoamylase and related glycosyl hydrolases,F,Orthology,COG3387,eggnog.embl.de,COG3387
Rv2636,Chloramphenicol 3-O-phosphotransferase,F,Orthology,COG3896,eggnog.embl.de,COG3896
Rv2618,Predicted transcriptional regulator,C,Orthology,COG2345,eggnog.embl.de,COG2345
Rv3896c,SLT domain proteins,F,Orthology,COG3953,eggnog.embl.de,COG3953
Rv0312,Molecular chaperone,H,Orthology,COG0443,eggnog.embl.de,COG0443
Rv2264c,Molecular chaperone,H,Orthology,COG0443,eggnog.embl.de,COG0443
Rv2681,Ribonuclease D,H,Orthology,COG0349,eggnog.embl.de,COG0349
Rv1084,Highly conserved protein containing a thioredoxin domain,F,Orthology,COG1331,eggnog.embl.de,COG1331
Rv0004,"Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives",C,Orthology,COG5512,eggnog.embl.de,COG5512
Rv2867c,Predicted acetyltransferase    ,F,Orthology,COG3393,eggnog.embl.de,COG3393
Rv2015c,Endonuclease   ,H,Orthology,NOG43959,eggnog.embl.de,NOG43959
Rv1765c,Endonuclease   ,H,Orthology,NOG43959,eggnog.embl.de,NOG43959
Rv3471c,Mannose-6-phosphate isomerase  ,F,Orthology,COG0662,eggnog.embl.de,COG0662
Rv3796,Metal-dependent hydrolases of the beta-lactamase superfamily III,F,Orthology,COG1234,eggnog.embl.de,COG1234
Rv2407,Metal-dependent hydrolases of the beta-lactamase superfamily III,F,Orthology,COG1234,eggnog.embl.de,COG1234
Rv1339,Metal-dependent hydrolases of the beta-lactamase superfamily III,F,Orthology,COG1234,eggnog.embl.de,COG1234
Rv1717,Cupin 2 barrel protein,C,Orthology,NOG73697,eggnog.embl.de,NOG73697
Rv3600c,"Putative transcriptional regulator, homolog of Bvg accessory factor",C,Orthology,COG1521,eggnog.embl.de,COG1521
Rv2466c,Protein disulfide oxidoreductase    ,F,Orthology,NOG05524,eggnog.embl.de,NOG05524
Rv2030c,Erythromycin esterase homolog,F,Orthology,COG2312,eggnog.embl.de,COG2312
Rv0959,Uncharacterized protein with a von Willebrand factor type A (vWA) domain,C,Orthology,COG4867,eggnog.embl.de,COG4867
Rv1003,Predicted methyltransferases ,F,Orthology,COG0313,eggnog.embl.de,COG0313
Rv3717,N-acetylmuramoyl-L-alanine amidase,A,Orthology,COG0860,eggnog.embl.de,COG0860
Rv2415c,DNA uptake protein and related DNA-binding proteins,C,Orthology,COG1555,eggnog.embl.de,COG1555
Rv2387,Predicted permease ,A,Orthology,COG3329,eggnog.embl.de,COG3329
Rv1288,FOG- LysM repeat   ,C,Orthology,COG1388,eggnog.embl.de,COG1388
Rv0441c,FMN binding protein,C,Orthology,NOG46531,eggnog.embl.de,NOG46531
Rv2771c,Multimeric flavodoxin WrbA,F,Orthology,COG0655,eggnog.embl.de,COG0655
Rv0925c,Multimeric flavodoxin WrbA,F,Orthology,COG0655,eggnog.embl.de,COG0655
Rv1059,Uncharacterized conserved protein related to dihydrodipicolinate reductase,F,Orthology,COG3804,eggnog.embl.de,COG3804
Rv0926c,Uncharacterized conserved protein related to dihydrodipicolinate reductase,F,Orthology,COG3804,eggnog.embl.de,COG3804
Rv1251c,Predicted nuclease (RecB family)  ,H,Orthology,COG2251,eggnog.embl.de,COG2251
Rv3114,Cytosine/adenosine deaminases,H,Orthology,COG0590,eggnog.embl.de,COG0590
Rv2927c,Cell division initiation protein  ,C,Orthology,COG3599,eggnog.embl.de,COG3599
Rv2704,"Putative translation initiation inhibitor, yjgF family",H,Orthology,COG0251,eggnog.embl.de,COG0251
Rv3678c,"Putative translation initiation inhibitor, yjgF family",H,Orthology,COG0251,eggnog.embl.de,COG0251
Rv1505c,Acetyltransferase (isoleucine patch superfamily)   ,F,Orthology,COG0110,eggnog.embl.de,COG0110
Rv3594,Chitosanase,F,Orthology,NOG47907,eggnog.embl.de,NOG47907
Rv3659c,"Flp pilus assembly protein, ATPase CpaF",A,Orthology,COG4962,eggnog.embl.de,COG4962
Rv2159c,Peroxidase ,F,Orthology,NOG12884,eggnog.embl.de,NOG12884
Rv2896c,Predicted Rossmann fold nucleotide-binding protein involved in DNA uptake ,C,Orthology,COG0758,eggnog.embl.de,COG0758
Rv1322,Atp/Gtp-Binding protein ,F,Orthology,NOG08659,eggnog.embl.de,NOG08659
Rv0421c,Predicted hydrolase of the alpha/beta-hydrolase fold ,F,Orthology,COG3571,eggnog.embl.de,COG3571
Rv0941c,Protein serine/threonine kinase ,C,Orthology,NOG46559,eggnog.embl.de,NOG46559
Rv3863,FOG- FHA domain ,C,Orthology,COG1716,eggnog.embl.de,COG1716
Rv3360,FOG- FHA domain ,C,Orthology,COG1716,eggnog.embl.de,COG1716
Rv1827,FOG- FHA domain ,C,Orthology,COG1716,eggnog.embl.de,COG1716
Rv0695,"Uncharacterized protein, putative amidase ",F,Orthology,COG1402,eggnog.embl.de,COG1402
Rv2819c,Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily) ,H,Orthology,COG1332,eggnog.embl.de,COG1332
Rv3586,Predicted nucleic-acid-binding protein (contains the HHH domain) ,C,Orthology,COG1623,eggnog.embl.de,COG1623
Rv2851c,Predicted acyltransferase ,F,Orthology,COG2153,eggnog.embl.de,COG2153
Rv3256c,Sugar binding protein ,F,Orthology,NOG08042,eggnog.embl.de,NOG08042
Rv2148c,Predicted enzyme with a TIM-barrel fold ,F,Orthology,COG0325,eggnog.embl.de,COG0325
Rv1734c,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes ",F,Orthology,COG0508,eggnog.embl.de,COG0508
Rv2004c,Predicted kinase ,C,Orthology,COG0645,eggnog.embl.de,COG0645
Rv2897c,Predicted ATPase with chaperone activity ,H,Orthology,COG0606,eggnog.embl.de,COG0606
Rv2143,Predicted phosphoribosyltransferases ,F,Orthology,COG1926,eggnog.embl.de,COG1926
Rv0571c,Predicted phosphoribosyltransferases ,F,Orthology,COG1926,eggnog.embl.de,COG1926
Rv2315c,Predicted Zn-dependent proteases and their inactivated homologs ,F,Orthology,COG0312,eggnog.embl.de,COG0312
Rv2314c,Predicted Zn-dependent proteases and their inactivated homologs ,F,Orthology,COG0312,eggnog.embl.de,COG0312
Rv1706A,Permeases of the major facilitator superfamily ,A,Orthology,COG0477,eggnog.embl.de,COG0477
Rv2991,Pyridoxamine 5-phosphate oxidase ,F,Orthology,NOG46670,eggnog.embl.de,NOG46670
Rv3090,"Membrane protease subunits, stomatin/prohibitin homologs ",A,Orthology,COG0330,eggnog.embl.de,COG0330
Rv2522c,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases ,F,Orthology,COG0624,eggnog.embl.de,COG0624
Rv0263c,Allophanate hydrolase subunit 2 ,F,Orthology,COG1984,eggnog.embl.de,COG1984
Rv1501,Protein involved in biosynthesis of mitomycin antibiotics/polyketide fumonisin ,E,Orthology,COG5285,eggnog.embl.de,COG5285
Rv3633,Protein involved in biosynthesis of mitomycin antibiotics/polyketide fumonisin ,E,Orthology,COG5285,eggnog.embl.de,COG5285
Rv1508A,GDP-D-mannose dehydratase ,F,Orthology,COG1089,eggnog.embl.de,COG1089
Rv2573,Ketopantoate reductase ,F,Orthology,COG1893,eggnog.embl.de,COG1893
Rv1830,Predicted transcriptional regulators ,C,Orthology,COG0789,eggnog.embl.de,COG0789
Rv1828,Predicted transcriptional regulators ,C,Orthology,COG0789,eggnog.embl.de,COG0789
Rv2752c,Predicted hydrolase of the metallo-beta-lactamase superfamily ,F,Orthology,COG0595,eggnog.embl.de,COG0595
Rv2286c,Protein disulfide oxidoreductase ,F,Orthology,NOG74609,eggnog.embl.de,NOG74609
Rv1462,"ABC-type transport system involved in Fe-S cluster assembly, permease component ",A,Orthology,COG0719,eggnog.embl.de,COG0719
Rv1461,"ABC-type transport system involved in Fe-S cluster assembly, permease component ",A,Orthology,COG0719,eggnog.embl.de,COG0719
Rv2813,"Type II secretory pathway, component ExeA (predicted ATPase) ",A,Orthology,COG3267,eggnog.embl.de,COG3267
Rv2012,Phage envelope protein ,G,Orthology,COG5562,eggnog.embl.de,COG5562
Rv0634A,Transcription regulator of the Arc/MetJ class ,C,Orthology,COG5450,eggnog.embl.de,COG5450
Rv2375,Transcription regulator of the Arc/MetJ class ,C,Orthology,COG5450,eggnog.embl.de,COG5450
Rv1836c,Von Willebrand factor (vWF) type A domain-containing protein ,C,Orthology,NOG10698,eggnog.embl.de,NOG10698
Rv2327,Transcriptional regulators ,C,Orthology,COG1846,eggnog.embl.de,COG1846
Rv2011c,Transcriptional regulators ,C,Orthology,COG1846,eggnog.embl.de,COG1846
Rv3422c,Predicted ATPase or kinase ,F,Orthology,COG0802,eggnog.embl.de,COG0802
