"Entry","Entry name","Status","Gene names","product","Length","Keywords","Protein families","Cross-reference (KEGG)",,,,,,,,,,
"P9WGU1","PSTS1_MYCTU","reviewed","pstS1 phoS1 Rv0934 MTCY08D9.05c","Phosphate-binding protein PstS 1 (PBP 1) (PhoS1) (PstS-1) (38-kDa glycolipoprotein) (38-kDa lipoprotein) (P38) (Antigen Ag78) (Protein antigen B) (Pab)",374,"3D-structure;Cell adhesion;Cell membrane;Cell wall;Complete proteome;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphate transport;Reference proteome;Secreted;Signal;Transport;Virulence","PstS family","mtu:Rv0934;",,,,,,,,,,
"P9WK45","LPRG_MYCTU","reviewed","lprG lpp-27 Rv1411c MTCY21B4.28c","Lipoarabinomannan carrier protein LprG (27 kDa lipoprotein) (Antigen P27) (Lipoprotein LprG) (Triacylated glycolipid carrier LprG) (Triacylglyceride transfer protein LprG)",236,"3D-structure;Antibiotic resistance;Cell inner membrane;Cell membrane;Cell wall;Complete proteome;Glycoprotein;Lipid transport;Lipid-binding;Lipoprotein;Membrane;Palmitate;Reference proteome;Secreted;Signal;Transport;Virulence","LppX/LprAFG lipoprotein family","mtu:Rv1411c;",,,,,,,,,,
"P9WG45","GYRB_MYCTU","reviewed","gyrB Rv0005 MTCY10H4.03","DNA gyrase subunit B (EC 5.99.1.3)",675,"3D-structure;ATP-binding;Antibiotic resistance;Complete proteome;Cytoplasm;DNA-binding;Isomerase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Topoisomerase","Type II topoisomerase GyrB family","mtu:Rv0005;",,,,,,,,,,
"P9WJE1","ESPA_MYCTU","reviewed","espA Rv3616c","ESX-1 secretion-associated protein EspA",392,"Complete proteome;Disulfide bond;Reference proteome;Secreted;Virulence",,"mtu:Rv3616c;",,,,,,,,,,
"P9WG29","RPFB_MYCTU","reviewed","rpfB Rv1009 MTC1237.26","Resuscitation-promoting factor RpfB (EC 3.-.-.-)",362,"3D-structure;Cell membrane;Complete proteome;Disulfide bond;Hydrolase;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Virulence","Transglycosylase family"," Rpf subfamily","mtu:Rv1009;",,,,,,,,,
"P9WN39","GLN1B_MYCTU","reviewed","glnA1 glnA Rv2220 MTCY190.31 MTCY427.01","Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)",478,"3D-structure;ATP-binding;Complete proteome;Cytoplasm;Direct protein sequencing;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Virulence","Glutamine synthetase family","mtu:Rv2220;",,,,,,,,,,
"P9WPE7","CH602_MYCTU","reviewed","groEL2 groEL-2 groL2 hsp65 mtc28 Rv0440 MTV037.04","60 kDa chaperonin 2 (65 kDa antigen) (Antigen A) (Cell wall protein A) (GroEL protein 2) (Heat shock protein 65) (Protein Cpn60-2)",540,"3D-structure;ATP-binding;Chaperone;Complete proteome;Cytoplasm;Isopeptide bond;Nucleotide-binding;Reference proteome;Secreted;Ubl conjugation","Chaperonin (HSP60) family","mtu:Rv0440;",,,,,,,,,,
"P9WFK7","EIS_MYCTU","reviewed","eis Rv2416c MTCY253.04","N-acetyltransferase Eis (EC 2.3.1.-) (Aminoglycoside N-acetyltransferase) (Enhanced intracellular survival protein) (Protein-lysine N-acetyltransferase)",402,"3D-structure;Acyltransferase;Antibiotic resistance;Complete proteome;Direct protein sequencing;Host cytoplasmic vesicle;Reference proteome;Secreted;Transferase","Acetyltransferase Eis family","mtu:Rv2416c;mtv:RVBD_2416c;",,,,,,,,,,
"P9WPE5","CH10_MYCTU","reviewed","groS cpn10 groES mopB Rv3418c MTCY78.11","10 kDa chaperonin (10 kDa antigen) (BCG-A heat shock protein) (GroES protein) (Protein Cpn10)",100,"3D-structure;Acetylation;Chaperone;Complete proteome;Cytoplasm;Direct protein sequencing;Isopeptide bond;Reference proteome;Stress response;Ubl conjugation","GroES chaperonin family","mtu:Rv3418c;",,,,,,,,,,
"P9WF41","WHIB3_MYCTU","reviewed","whiB3 Rv3416","Redox- and pH-responsive transcriptional regulator WhiB3",102,"4Fe-4S;Complete proteome;Cytoplasm;DNA-binding;Disulfide bond;Iron;Iron-sulfur;Metal-binding;Reference proteome;Stress response;Transcription;Transcription regulation;Virulence","WhiB family","mtu:Rv3416;",,,,,,,,,,
"P9WI45","PPE03_MYCTU","reviewed","PPE3 Rv0280","Uncharacterized PPE family protein PPE3",536,"Complete proteome;Reference proteome","Mycobacterial PPE family","mtu:Rv0280;",,,,,,,,,,
"P9WI43","PPE04_MYCTU","reviewed","PPE4 Rv0286","PPE family protein PPE4",513,"Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix","Mycobacterial PPE family","mtu:Rv0286;",,,,,,,,,,
"P9WI41","PPE10_MYCTU","reviewed","PPE10 Rv0442c MTV037.06c","Uncharacterized PPE family protein PPE10",487,"Complete proteome;Reference proteome","Mycobacterial PPE family","mtu:Rv0442c;",,,,,,,,,,
"P9WI37","PPE12_MYCTU","reviewed","PPE12 Rv0755c","Uncharacterized PPE family protein PPE12",645,"Complete proteome;Reference proteome","Mycobacterial PPE family","mtu:Rv0755c;",,,,,,,,,,
"P9WHW7","PPE69_MYCTU","reviewed","PPE69 Rv3892c","Uncharacterized PPE family protein PPE69",399,"Complete proteome;Reference proteome","Mycobacterial PPE family","mtu:Rv3892c;",,,,,,,,,,
"P9WI07","PPE30_MYCTU","reviewed","PPE30 Rv1802 MTV049.24","Uncharacterized PPE family protein PPE30",463,"Complete proteome;Reference proteome","Mycobacterial PPE family","mtu:Rv1802;mtv:RVBD_1802;",,,,,,,,,,
"P9WI05","PPE32_MYCTU","reviewed","PPE32 Rv1808","Uncharacterized PPE family protein PPE32",409,"Complete proteome;Reference proteome","Mycobacterial PPE family","mtu:Rv1808;mtv:RVBD_1808;",,,,,,,,,,
"Q79FI9","PPE34_MYCTU","reviewed","PPE34 Rv1917c","PPE family protein PPE34",1459,"Cell membrane;Cell wall;Complete proteome;Membrane;Reference proteome;Secreted;Virulence","Mycobacterial PPE family","mtu:Rv1917c;mtv:RVBD_1917c;",,,,,,,,,,
"P9WI01","PPE36_MYCTU","reviewed","PPE36 p27 Rv2108","Uncharacterized PPE family protein PPE36",243,"Cell membrane;Complete proteome;Direct protein sequencing;Membrane;Reference proteome","Mycobacterial PPE family","mtu:Rv2108;",,,,,,,,,,
"P9WHW1","PPIB_MYCTU","reviewed","ppiB ppi Rv2582 MTCY227.19c","Probable peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Rotamase B)",308,"Complete proteome;Isomerase;Reference proteome;Rotamase","Cyclophilin-type PPIase family","mtu:Rv2582;mtv:RVBD_2582;",,,,,,,,,,
"P9WH17","RIMP_MYCTU","reviewed","rimP Rv2842c MTCY24A1.15","Ribosome maturation factor RimP",183,"Complete proteome;Cytoplasm;Reference proteome;Ribosome biogenesis","RimP family","mtu:Rv2842c;",,,,,,,,,,
"P9WMP1","PPOX_MYCTU","reviewed","hemY Rv2677c MTV010.01c","Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)",452,"Complete proteome;Cytoplasm;FAD;Flavoprotein;Heme biosynthesis;Membrane;Oxidoreductase;Porphyrin biosynthesis;Reference proteome","Protoporphyrinogen oxidase family","mtu:Rv2677c;",,,,,,,,,,
"P9WQE1","PPSE_MYCTU","reviewed","ppsE Rv2935","Phthiocerol synthesis polyketide synthase type I PpsE (Beta-ketoacyl-acyl-carrier-protein synthase I) (EC 2.3.1.41)",1488,"Acetylation;Complete proteome;Fatty acid metabolism;Lipid metabolism;Multifunctional enzyme;NADP;Oxidoreductase;Phosphopantetheine;Phosphoprotein;Reference proteome;Transferase",,"mtu:Rv2935;",,,,,,,,,,
"O53168","RIPA_MYCTU","reviewed","ripA Rv1477","Peptidoglycan endopeptidase RipA (EC 3.4.-.-) (Macrophage invasion and intracellular persistence protein A) (Resuscitation-promoting factor interaction partner A) (Rpf-interacting protein A)",472,"3D-structure;Cell wall biogenesis/degradation;Complete proteome;Hydrolase;Protease;Reference proteome;Secreted;Signal;Thiol protease","Peptidase C40 family","mtu:Rv1477;",,,,,,,,,,
"P9WH69","RIR2H_MYCTU","reviewed","nrdB Rv0233","R2-like ligand binding oxidase (EC 1.-.-.-) (Ribonucleotide reductase R2 subunit homolog) (Ribonucleotide reductase small subunit homolog)",314,"3D-structure;Complete proteome;Iron;Lipoprotein;Manganese;Metal-binding;Oxidoreductase;Reference proteome","Ribonucleoside diphosphate reductase small chain family"," R2-like ligand binding oxidase subfamily","mtu:Rv0233;",,,,,,,,,
"P9WIM7","PRA_MYCTU","reviewed","pra Rv1078 MTV017.31","Proline-rich antigen homolog",240,"Complete proteome;Reference proteome;Repeat",,"mtu:Rv1078;",,,,,,,,,,
"P9WIC3","PHEA_MYCTU","reviewed","pheA Rv3838c","Prephenate dehydratase (PDT) (EC 4.2.1.51)",321,"Allosteric enzyme;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Complete proteome;Lyase;Phenylalanine biosynthesis;Reference proteome",,"mtu:Rv3838c;",,,,,,,,,,
"P9WPG5","PGSA1_MYCTU","reviewed","pgsA1 pgsA pgsA2 Rv1822 MTCY1A11.21c","Putative CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyl-transferase 1 (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase) (PGP synthase)",209,"Cell membrane;Complete proteome;Lipid biosynthesis;Lipid metabolism;Membrane;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Transferase;Transmembrane;Transmembrane helix","CDP-alcohol phosphatidyltransferase class-I family","mtu:Rv1822;",,,,,,,,,,
"O53901","PKS5_MYCTU","reviewed","pks5 Rv1527c LH57_08370","Mycocerosic acid synthase-like polyketide synthase (MAS-like PKS) (EC 2.3.1.-) (Polyketide synthase Pks5)",2108,"Acyltransferase;Cell membrane;Complete proteome;Fatty acid metabolism;Lipid metabolism;Lipoprotein;Membrane;Multifunctional enzyme;NADP;Oxidoreductase;Palmitate;Phosphopantetheine;Phosphoprotein;Reference proteome;Signal;Transferase;Virulence",,"mtu:Rv1527c;mtv:RVBD_1527c;",,,,,,,,,,
"P9WH71","RIR2B_MYCTU","reviewed","nrdF2 Rv3048c","Ribonucleoside-diphosphate reductase subunit beta nrdF2 (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase nrdF2) (Ribonucleotide reductase R2-2 small subunit)",324,"3D-structure;Complete proteome;DNA replication;Iron;Metal-binding;Oxidoreductase;Reference proteome","Ribonucleoside diphosphate reductase small chain family","mtu:Rv3048c;",,,,,,,,,,
"P9WGK7","PRRB_MYCTU","reviewed","prrB Rv0902c MTCY31.30c","Sensor-type histidine kinase PrrB (EC 2.7.13.3)",446,"3D-structure;ATP-binding;Cell membrane;Complete proteome;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system",,"mtu:Rv0902c;",,,,,,,,,,
"P9WPF1","PKS18_MYCTU","reviewed","pks18 Rv1372","Alpha-pyrone synthesis polyketide synthase-like Pks18 (EC 2.3.1.-) (Alpha-pyrone synthesis polyketide synthase type III Pks18) (Chalcone synthase-like protein) (CHS-like)",393,"3D-structure;Acyltransferase;Complete proteome;Fatty acid metabolism;Lipid metabolism;Reference proteome;Transferase","Chalcone/stilbene synthases family","mtu:Rv1372;",,,,,,,,,,
"P9WI61","PLSB_MYCTU","reviewed","plsB plsB2 Rv2482c MTV008.38c","Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)",789,"Acyltransferase;Cell membrane;Complete proteome;Lipid biosynthesis;Lipid metabolism;Membrane;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Transferase","GPAT/DAPAT family","mtu:Rv2482c;",,,,,,,,,,
"P9WKD5","POLOX_MYCTU","reviewed","Rv2149c MTCY270.19","Polyphenol oxidase (EC 1.10.3.-) (Multicopper oxidase Rv2149c)",250,"Complete proteome;Copper;Metal-binding;Oxidoreductase;Reference proteome","Multicopper oxidase YfiH/RL5 family","mtu:Rv2149c;mtv:RVBD_2149c;",,,,,,,,,,
"O53493","PPMNT_MYCTU","reviewed","ppm1 lnt Rv2051c","Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase [Includes: Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269); Polyprenol monophosphomannose synthase (PPM synthase) (Polyprenol-P-Man synthase) (Ppm1) (EC 2.4.1.-) (Dolichol-phosphate mannose synthase) (EC 2.4.1.83)]",874,"Acyltransferase;Cell membrane;Complete proteome;Glycosyltransferase;Hydrolase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix","CN hydrolase family"," Apolipoprotein N-acyltransferase subfamily; Glycosyltransferase 2 family","mtu:Rv2051c;mtv:RVBD_2051c;",,,,,,,,,
"P9WQE7","PPSA_MYCTU","reviewed","ppsA Rv2931 MTCY338.20","Phthiocerol synthesis polyketide synthase type I PpsA (Beta-ketoacyl-acyl-carrier-protein synthase I) (EC 2.3.1.41)",1876,"Acetylation;Complete proteome;Fatty acid metabolism;Lipid metabolism;Multifunctional enzyme;NADP;Oxidoreductase;Phosphopantetheine;Phosphoprotein;Reference proteome;Repeat;Transferase",,"mtu:Rv2931;mtv:RVBD_2931;",,,,,,,,,,
"P9WQE5","PPSB_MYCTU","reviewed","ppsB Rv2932 MTCY338.21 MTV011.01","Phthiocerol synthesis polyketide synthase type I PpsB (Beta-ketoacyl-acyl-carrier-protein synthase I) (EC 2.3.1.41)",1538,"Complete proteome;Fatty acid metabolism;Lipid metabolism;Multifunctional enzyme;NADP;Oxidoreductase;Phosphopantetheine;Phosphoprotein;Reference proteome;Transferase",,"mtu:Rv2932;mtv:RVBD_2932;",,,,,,,,,,
"P96202","PPSC_MYCTU","reviewed","ppsC Rv2933","Phthiocerol synthesis polyketide synthase type I PpsC (Beta-ketoacyl-acyl-carrier-protein synthase I) (EC 2.3.1.41)",2188,"3D-structure;Acetylation;Complete proteome;Fatty acid metabolism;Lipid metabolism;Multifunctional enzyme;NADP;Oxidoreductase;Phosphopantetheine;Phosphoprotein;Reference proteome;Transferase",,"mtu:Rv2933;mtv:RVBD_2933;",,,,,,,,,,
"P9WQE3","PPSD_MYCTU","reviewed","ppsD Rv2934","Phthiocerol synthesis polyketide synthase type I PpsD (Beta-ketoacyl-acyl-carrier-protein synthase I) (EC 2.3.1.41)",1827,"Complete proteome;Fatty acid metabolism;Lipid metabolism;Multifunctional enzyme;NADP;Oxidoreductase;Phosphopantetheine;Phosphoprotein;Reference proteome;Transferase",,"mtu:Rv2934;",,,,,,,,,,
"P9WHS3","RIP1_MYCTU","reviewed","rip1 Rv2869c MTV003.15c","Zinc metalloprotease Rip1 (EC 3.4.24.-) (Regulator of sigma KLM proteases) (S2P endopeptidase) (Site-2 protease Rip1) (S2P protease Rip1) (Site-2-type intramembrane protease)",404,"Cell membrane;Complete proteome;Hydrolase;Membrane;Metal-binding;Metalloprotease;Protease;Reference proteome;Transmembrane;Transmembrane helix;Zinc","Peptidase M50B family","mtu:Rv2869c;",,,,,,,,,,
"L0T550","RIP2_MYCTU","reviewed","rip2 Rv0359","Putative zinc metalloprotease Rip2",259,"Cell membrane;Complete proteome;Hydrolase;Membrane;Metal-binding;Metalloprotease;Protease;Reference proteome;Transmembrane;Transmembrane helix;Zinc","Peptidase M50B family","mtu:Rv0359;",,,,,,,,,,
"P9WHR1","RIP3_MYCTU","reviewed","rip3 Rv2625c","Putative zinc metalloprotease Rip3",393,"CBS domain;Cell membrane;Complete proteome;Hydrolase;Membrane;Metal-binding;Metalloprotease;Protease;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Zinc","Peptidase M50B family","mtu:Rv2625c;",,,,,,,,,,
"I6YG32","RIMI_MYCTU","reviewed","rimI Rv3420c LH57_18670","N-alpha-acetyltransferase RimI (EC 2.3.1.255) (EC 2.3.1.258)",158,"Acyltransferase;Complete proteome;Reference proteome;Transferase","Acetyltransferase family"," RimI subfamily","mtu:Rv3420c;mtv:RVBD_3420c;",,,,,,,,,
"P9WHN9","PHP_MYCTU","reviewed","php Rv0230c MTCY08D5.26c","Phosphotriesterase homology protein",326,"3D-structure;Complete proteome;Hydrolase;Metal-binding;Reference proteome;Zinc","Metallo-dependent hydrolases superfamily"," Phosphotriesterase family","mtu:Rv0230c;",,,,,,,,,
"P9WI95","PHOU2_MYCTU","reviewed","phoU2 phoY2 Rv0821c MTV043.13c","Phosphate-specific transport system accessory protein PhoU homolog 2 (Pst system accessory protein PhoU homolog 2)",213,"Complete proteome;Cytoplasm;Pharmaceutical;Phosphate transport;Reference proteome;Transport","PhoU family","mtu:Rv0821c;",,,,,,,,,,
"P9WPF5","PKS10_MYCTU","reviewed","pks10 Rv1660","Polyketide synthase-like Pks10 (EC 2.3.1.-) (Chalcone synthase-like protein) (CHS-like) (Polyketide synthase type III Pks10)",353,"Acyltransferase;Complete proteome;Fatty acid metabolism;Lipid metabolism;Reference proteome;Transferase","Chalcone/stilbene synthases family","mtu:Rv1660;",,,,,,,,,,
"P9WHF1","RIBBA_MYCTU","reviewed","ribBA ribA ribA2 Rv1415 MTCY21B4.33","Riboflavin biosynthesis protein RibBA [Includes: 3","4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]",425,"Complete proteome;GTP-binding;Hydrolase;Lyase;Magnesium;Manganese;Metal-binding;Multifunctional enzyme;Nucleotide-binding;Reference proteome;Riboflavin biosynthesis;Zinc","DHBP synthase family; GTP cyclohydrolase II family","mtu:Rv1415;",,,,,,,,,
"P9WHU9","PROB_MYCTU","reviewed","proB Rv2439c MTCY428.07","Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)",376,"ATP-binding;Amino-acid biosynthesis;Complete proteome;Cytoplasm;Kinase;Nucleotide-binding;Proline biosynthesis;Reference proteome;Transferase","Glutamate 5-kinase family","mtu:Rv2439c;",,,,,,,,,,
"P9WIM9","PR28_MYCTU","reviewed","mtc28 Rv0040c MTCY21D4.03c","Proline-rich 28 kDa antigen",310,"3D-structure;Complete proteome;Reference proteome;Signal",,"mtu:Rv0040c;",,,,,,,,,,
"P9WHV1","PROA_MYCTU","reviewed","proA Rv2427c MTCY428.20","Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)",415,"Acetylation;Amino-acid biosynthesis;Complete proteome;Cytoplasm;NADP;Oxidoreductase;Proline biosynthesis;Reference proteome","Gamma-glutamyl phosphate reductase family","mtu:Rv2427c;",,,,,,,,,,
"I6Y9Q3","PRPC_MYCTU","reviewed","prpC Rv1131 RVBD_1131 P425_01180","2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase) (EC 2.3.3.16)",393,"3D-structure;Complete proteome;Reference proteome;Transferase;Tricarboxylic acid cycle","Citrate synthase family","mtu:Rv1131;mtv:RVBD_1131;",,,,,,,,,,
"O06581","PRPR_MYCTU","reviewed","prpR Rv1129c RVBD_1129c P425_01178","HTH-type transcriptional regulator PrpR (Propionate regulator) (PRPR)",486,"Activator;Complete proteome;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation","Short-chain fatty acyl-CoA assimilation regulator (ScfR) family","mtu:Rv1129c;mtv:RVBD_1129c;",,,,,,,,,,
"P9WHE1","RL13_MYCTU","reviewed","rplM Rv3443c MTCY77.15c","50S ribosomal protein L13",147,"3D-structure;Complete proteome;Reference proteome;Ribonucleoprotein;Ribosomal protein","Universal ribosomal protein uL13 family","mtu:Rv3443c;",,,,,,,,,,
"P9WHD9","RL14_MYCTU","reviewed","rplN Rv0714 MTCY210.33","50S ribosomal protein L14",122,"3D-structure;Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Universal ribosomal protein uL14 family","mtu:Rv0714;",,,,,,,,,,
