"PATRIC ID","locus_tag","Feature ID","Start","End","Length","Strand","FIGfam ID","PATRIC genus-specific families (PLfams)","Protein ID","AA Length","Gene Symbol","product","GO"
"fig|83332.12.peg.1018",,"PATRIC.83332.12.NC_000962.CDS.1016820.1017050.rev",1016820,1017050,231,"-","FIG01388643","PLF_1763_00003405",,76,,"hypothetical protein",
"fig|83332.12.peg.1019","Rv0913c","PATRIC.83332.12.NC_000962.CDS.1017217.1018725.rev",1017217,1018725,1509,"-","FIG01358959","PLF_1763_00002206","NP_215428.1",502,,"Lignostilbene-alpha,beta-dioxygenase and related enzymes",
"fig|83332.12.peg.1020","Rv0914c","PATRIC.83332.12.NC_000962.CDS.1018727.1019965.rev",1018727,1019965,1239,"-","FIG01279374","PLF_1763_00001411","NP_215429.1",412,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16)","GO:0003988|acetyl-CoA C-acyltransferase activity"
"fig|83332.12.peg.1021","Rv0915c","PATRIC.83332.12.NC_000962.CDS.1020058.1021329.rev",1020058,1021329,1272,"-","FIG00013075","PLF_1763_00002606","YP_177765.1",423,"PPE14","PPE family protein, SVP subgroup => PPE14",
"fig|83332.12.peg.1022","Rv0916c","PATRIC.83332.12.NC_000962.CDS.1021344.1021505.rev",1021344,1021505,162,"-",,"PLF_1763_00003533","YP_177766.1",53,"PE7","PE family protein => PE7",
"fig|83332.12.peg.1023","Rv0917","PATRIC.83332.12.NC_000962.CDS.1022087.1023868.fwd",1022087,1023868,1782,"+","FIG00001690","PLF_1763_00002759","NP_215432.1",593,"betP","High-affinity choline uptake protein BetT",
"fig|83332.12.peg.1024",,"PATRIC.83332.12.NC_000962.CDS.1023868.1024122.fwd",1023868,1024122,255,"+","FIG00821312","PLF_1763_00003792",,84,,"hypothetical protein",
"fig|83332.12.peg.1025","Rv0918","PATRIC.83332.12.NC_000962.CDS.1024400.1024687.fwd",1024400,1024687,288,"+","FIG00021257","PLF_1763_00003102","NP_215433.1",95,,"FIG032766: hypothetical protein",
"fig|83332.12.peg.1026","Rv0919","PATRIC.83332.12.NC_000962.CDS.1024684.1025184.fwd",1024684,1025184,501,"+","FIG01303971","PLF_1763_00003042","NP_215434.1",166,,"FIG001353: Acetyltransferase",
"fig|83332.12.peg.1027",,"PATRIC.83332.12.NC_000962.CDS.1025170.1025316.rev",1025170,1025316,147,"-","FIG00820367","PLF_1763_00004157",,48,,"hypothetical protein",
"fig|83332.12.peg.1028","Rv0920c","PATRIC.83332.12.NC_000962.CDS.1025497.1026816.rev",1025497,1026816,1320,"-","FIG01354948","PLF_1763_00002965","NP_215435.1",439,,"Transposase",
"fig|83332.12.peg.1029","Rv0921","PATRIC.83332.12.NC_000962.CDS.1027137.1027685.fwd",1027137,1027685,549,"+","FIG01329993","PLF_1763_00002626","NP_215436.1",182,,"Resolvase",
"fig|83332.12.peg.1030","Rv0922","PATRIC.83332.12.NC_000962.CDS.1027697.1029337.fwd",1027697,1029337,1641,"+","FIG01314079","PLF_1763_00003010","NP_215437.1",546,,"hypothetical protein",
"fig|83332.12.peg.106","Rv0093c","PATRIC.83332.12.NC_000962.CDS.102815.103663.rev",102815,103663,849,"-","FIG01121868","PLF_1763_00010710","NP_214607.1",282,,"Integral membrane protein",
"fig|83332.12.peg.1031","Rv0923c","PATRIC.83332.12.NC_000962.CDS.1029513.1030577.rev",1029513,1030577,1065,"-","FIG00823129","PLF_1763_00290311","NP_215438.1",354,,"hypothetical protein",
"fig|83332.12.peg.1032","Rv0924c","PATRIC.83332.12.NC_000962.CDS.1030578.1031864.rev",1030578,1031864,1287,"-","FIG00554286","PLF_1763_00000777","YP_177767.1",428,"mntH","Manganese transport protein MntH","GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane"
"fig|83332.12.peg.1033","Rv0925c","PATRIC.83332.12.NC_000962.CDS.1031896.1032633.rev",1031896,1032633,738,"-","FIG01313164","PLF_1763_00002855","NP_215440.1",245,,"BRAMP",
"fig|83332.12.peg.1034","Rv0926c","PATRIC.83332.12.NC_000962.CDS.1032710.1033786.rev",1032710,1033786,1077,"-","FIG00820001","PLF_1763_00000707","NP_215441.1",358,,"Oxidoreductase",
"fig|83332.12.peg.1035","Rv0927c","PATRIC.83332.12.NC_000962.CDS.1033840.1034631.rev",1033840,1034631,792,"-","FIG01308941","PLF_1763_00001132","NP_215442.1",263,,"Oxidoreductase, short-chain dehydrogenase/reductase family",
"fig|83332.12.peg.1036","Rv0928","PATRIC.83332.12.NC_000962.CDS.1035089.1036015.fwd",1035089,1036015,927,"+","FIG00010508","PLF_1763_00000518","YP_177768.1",308,"pstS3","Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)",
"fig|83332.12.peg.1037","Rv0929","PATRIC.83332.12.NC_000962.CDS.1036028.1037002.fwd",1036028,1037002,975,"+","FIG00018561","PLF_1763_00001708","NP_215444.1",324,"pstC2","Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)",
"fig|83332.12.peg.1038","Rv0930","PATRIC.83332.12.NC_000962.CDS.1036999.1037925.fwd",1036999,1037925,927,"+","FIG00083946","PLF_1763_00001754","NP_215445.2",308,"pstA1","Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)",
"fig|83332.12.peg.107","Rv0094c","PATRIC.83332.12.NC_000962.CDS.103710.104663.rev",103710,104663,954,"-","FIG00820827","PLF_1763_00042741","NP_214608.1",317,,"13E12 repeat family protein",
"fig|83332.12.peg.1039","Rv0931c","PATRIC.83332.12.NC_000962.CDS.1037920.1039914.rev",1037920,1039914,1995,"-","FIG01395884","PLF_1763_00000122","NP_215446.1",664,"pknD","Serine/threonine-protein kinase PknD (EC 2.7.11.1)",
"fig|83332.12.peg.1040","Rv0932c","PATRIC.83332.12.NC_000962.CDS.1039936.1041048.rev",1039936,1041048,1113,"-","FIG00010508","PLF_1763_00002126","YP_177769.1",370,"pstS2","Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)",
"fig|83332.12.peg.1041","Rv0933","PATRIC.83332.12.NC_000962.CDS.1041264.1042094.fwd",1041264,1042094,831,"+","FIG00011114","PLF_1763_00000162","NP_215448.1",276,"pstB","Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)",
"fig|83332.12.peg.1042","Rv0934","PATRIC.83332.12.NC_000962.CDS.1042115.1043239.fwd",1042115,1043239,1125,"+","FIG00010508","PLF_1763_00001734","YP_177770.1",374,"pstS1","Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)",
"fig|83332.12.peg.1043","Rv0935","PATRIC.83332.12.NC_000962.CDS.1043299.1044315.fwd",1043299,1044315,1017,"+","FIG00018561","PLF_1763_00002637","YP_177771.1",338,"pstC1","Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)",
"fig|83332.12.peg.1044","Rv0936","PATRIC.83332.12.NC_000962.CDS.1044443.1045222.fwd",1044443,1045222,780,"+","FIG00083946","PLF_1763_00002078","NP_215451.1",259,"pstA2","Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)",
"fig|83332.12.peg.1045","Rv0937c","PATRIC.83332.12.NC_000962.CDS.1045199.1046074.rev",1045199,1046074,876,"-","FIG00001754","PLF_1763_00001062","NP_215452.1",291,,"Ku domain protein",
"fig|83332.12.peg.1046","Rv0938","PATRIC.83332.12.NC_000962.CDS.1046136.1048415.fwd",1046136,1048415,2280,"+","FIG00002268","PLF_1763_00000794","NP_215453.1",759,,"ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD",
"fig|83332.12.peg.108",,"PATRIC.83332.12.NC_000962.CDS.104656.104808.fwd",104656,104808,153,"+","FIG01653443","PLF_1763_00000014",,50,,"hypothetical protein",
"fig|83332.12.peg.109","Rv0095c","PATRIC.83332.12.NC_000962.CDS.104805.105101.rev",104805,105101,297,"-","FIG00820827","PLF_1763_00003915","NP_214609.1",98,,"13E12 repeat family protein",
"fig|83332.12.peg.8","Rv0007","PATRIC.83332.12.NC_000962.CDS.10484.10828.fwd",10484,10828,345,"+","FIG00735262","PLF_1763_00000963","NP_214521.1",114,,"FIG187021: hypothetical protein",
"fig|83332.12.peg.1047","Rv0939","PATRIC.83332.12.NC_000962.CDS.1048412.1050346.fwd",1048412,1050346,1935,"+","FIG01954607","PLF_1763_00001832","NP_215454.1",644,,"Fumarylacetoacetate hydrolase family protein / MBL-fold metallo-hydrolase superfamily",
"fig|83332.12.peg.1048","Rv0940c","PATRIC.83332.12.NC_000962.CDS.1050593.1051459.rev",1050593,1051459,867,"-","FIG01353725","PLF_1763_00001257","NP_215455.1",288,,"Hydride transferase 1 (Fragment)",
"fig|83332.12.peg.1049","Rv0941c","PATRIC.83332.12.NC_000962.CDS.1051544.1052308.rev",1051544,1052308,765,"-","FIG00823383","PLF_1763_00091612","NP_215456.1",254,,"hypothetical protein",
"fig|83332.12.peg.1050",,"PATRIC.83332.12.NC_000962.CDS.1052617.1052730.rev",1052617,1052730,114,"-","FIG01329647","PLF_1763_00003290",,37,,"hypothetical protein",
"fig|83332.12.peg.1051","Rv0943c","PATRIC.83332.12.NC_000962.CDS.1052696.1053736.rev",1052696,1053736,1041,"-","FIG00975774","PLF_1763_00002379","NP_215458.1",346,,"Cyclohexanone monooxygenase (EC 1.14.13.22)",
"fig|83332.12.peg.110","Rv0096","PATRIC.83332.12.NC_000962.CDS.105324.106715.fwd",105324,106715,1392,"+","FIG00013075","PLF_1763_00037180","YP_177690.1",463,"PPE1","PPE family protein, PPW subgroup => PPE1",
"fig|83332.12.peg.1052","Rv0944","PATRIC.83332.12.NC_000962.CDS.1053759.1054241.fwd",1053759,1054241,483,"+","FIG00035634","PLF_1763_00000913","NP_215459.1",160,,"Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)","GO:0008534|oxidized purine base lesion DNA N-glycosylase activity"
"fig|83332.12.peg.1053","Rv0945","PATRIC.83332.12.NC_000962.CDS.1054259.1055008.fwd",1054259,1055008,750,"+","FIG01955289","PLF_1763_00001280","NP_215460.1",249,,"Short chain dehydrogenase family protein Rv0945",
"fig|83332.12.peg.1054","Rv0946c","PATRIC.83332.12.NC_000962.CDS.1055024.1056685.rev",1055024,1056685,1662,"-","FIG00000245","PLF_1763_00000505","NP_215461.1",553,"pgi","Glucose-6-phosphate isomerase (EC 5.3.1.9)","GO:0004347|glucose-6-phosphate isomerase activity"
"fig|83332.12.peg.1055",,"PATRIC.83332.12.NC_000962.CDS.1056786.1056974.rev",1056786,1056974,189,"-","FIG00820065","PLF_1763_00003665",,62,,"hypothetical protein",
"fig|83332.12.peg.1056",,"PATRIC.83332.12.NC_000962.CDS.1057300.1057530.rev",1057300,1057530,231,"-","FIG01444495","PLF_1763_00003821",,76,,"hypothetical protein",
"fig|83332.12.peg.1057","Rv0948c","PATRIC.83332.12.NC_000962.CDS.1057646.1057918.rev",1057646,1057918,273,"-","FIG00001498","PLF_1763_00001130","NP_215463.1",90,,"Chorismate mutase I (EC 5.4.99.5)","GO:0004106|chorismate mutase activity"
"fig|83332.12.peg.1058","Rv0949","PATRIC.83332.12.NC_000962.CDS.1058260.1060575.fwd",1058260,1060575,2316,"+","FIG00000372","PLF_1763_00000306","YP_177772.1",771,"uvrD1","ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12)",
"fig|83332.12.peg.1059","Rv0950c","PATRIC.83332.12.NC_000962.CDS.1060656.1061654.rev",1060656,1061654,999,"-","FIG00821878","PLF_1763_00341244","NP_215465.1",332,,"Phage peptidoglycan binding endopeptidase",
"fig|83332.12.peg.1060","Rv0951","PATRIC.83332.12.NC_000962.CDS.1061964.1063127.fwd",1061964,1063127,1164,"+","FIG00000337","PLF_1763_00000312","NP_215466.1",387,"sucC","Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)","GO:0004775|succinate-CoA ligase (ADP-forming) activity"
"fig|83332.12.peg.1061","Rv0952","PATRIC.83332.12.NC_000962.CDS.1063140.1064051.fwd",1063140,1064051,912,"+","FIG00038611","PLF_1763_00001352","NP_215467.1",303,"sucD","Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)","GO:0004775|succinate-CoA ligase (ADP-forming) activity"
"fig|83332.12.peg.1062","Rv0953c","PATRIC.83332.12.NC_000962.CDS.1064114.1064962.rev",1064114,1064962,849,"-","FIG01353725","PLF_1763_00001512","NP_215468.1",282,,"N5,N10-methylenetetrahydromethanopterin reductase-related protein, MSMEG5498 family",
"fig|83332.12.peg.1063",,"PATRIC.83332.12.NC_000962.CDS.1065018.1065146.fwd",1065018,1065146,129,"+","FIG01602799","PLF_1763_00004184",,42,,"hypothetical protein",
"fig|83332.12.peg.1064","Rv0954","PATRIC.83332.12.NC_000962.CDS.1065127.1066038.fwd",1065127,1066038,912,"+","FIG00820205","PLF_1763_00008068","NP_215469.1",303,,"antigen 34 kDa",
"fig|83332.12.peg.1065","Rv0955","PATRIC.83332.12.NC_000962.CDS.1066087.1067445.fwd",1066087,1067445,1359,"+","FIG00021574","PLF_1763_00000571","NP_215470.1",452,,"FIG021574: Possible membrane protein related to de Novo purine biosynthesis",
"fig|83332.12.peg.111","Rv0097","PATRIC.83332.12.NC_000962.CDS.106734.107603.fwd",106734,107603,870,"+","FIG01321859","PLF_1763_00002060","NP_214611.1",289,,"putative oxidoreductase Rv0097",
"fig|83332.12.peg.1066","Rv0956","PATRIC.83332.12.NC_000962.CDS.1067633.1068208.fwd",1067633,1068208,576,"+","FIG00000253","PLF_1763_00000870","NP_215471.1",191,"purN","Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)","GO:0004644|phosphoribosylglycinamide formyltransferase activity"
"fig|83332.12.peg.1067","Rv0957","PATRIC.83332.12.NC_000962.CDS.1068205.1069776.fwd",1068205,1069776,1572,"+","FIG00000275","PLF_1763_00000299","NP_215472.1",523,"purH","IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)","GO:0003937|IMP cyclohydrolase activity;GO:0004643|phosphoribosylaminoimidazolecarboxamide formyltransferase activity"
"fig|83332.12.peg.1068","Rv0958","PATRIC.83332.12.NC_000962.CDS.1069880.1071262.fwd",1069880,1071262,1383,"+","FIG00019368","PLF_1763_00001683","NP_215473.1",460,,"Magnesium chelatase, subunit ChlI (EC 6.6.1.1)",
"fig|83332.12.peg.1069","Rv0959","PATRIC.83332.12.NC_000962.CDS.1071255.1073273.fwd",1071255,1073273,2019,"+","FIG00019045","PLF_1763_00001565","NP_215474.1",672,,"FIG019045: long form Mg-chelase associated protein with vWA domain",
"fig|83332.12.peg.1070",,"PATRIC.83332.12.NC_000962.CDS.1073327.1073548.fwd",1073327,1073548,222,"+","FIG00037033","PLF_1763_00003369",,73,,"antitoxin VapB9 @ Antitoxin 1",
"fig|83332.12.peg.1071","Rv0960","PATRIC.83332.12.NC_000962.CDS.1073545.1073928.fwd",1073545,1073928,384,"+","FIG00033999","PLF_1763_00003856","NP_215475.1",127,,"toxin VapC9 @ Toxin 1, PIN domain",
"fig|83332.12.peg.1072","Rv0961","PATRIC.83332.12.NC_000962.CDS.1074080.1074421.fwd",1074080,1074421,342,"+","FIG01315135","PLF_1763_00003386","NP_215476.1",113,,"Integral membrane protein",
"fig|83332.12.peg.1073","Rv0962c","PATRIC.83332.12.NC_000962.CDS.1074440.1075114.rev",1074440,1075114,675,"-","FIG00947911","PLF_1763_00002571","NP_215477.1",224,"lprP","Lipoprotein LprP",
"fig|83332.12.peg.1074",,"PATRIC.83332.12.NC_000962.CDS.1075111.1075251.rev",1075111,1075251,141,"-","FIG00822502","PLF_1763_00003640",,46,,"hypothetical protein",
"fig|83332.12.peg.1075","Rv0963c","PATRIC.83332.12.NC_000962.CDS.1075297.1076097.rev",1075297,1076097,801,"-","FIG01353358","PLF_1763_00002303","NP_215478.1",266,,"hypothetical protein",
"fig|83332.12.peg.1076","Rv0964c","PATRIC.83332.12.NC_000962.CDS.1076196.1076678.rev",1076196,1076678,483,"-","FIG00821695","PLF_1763_00004102","NP_215479.1",160,,"hypothetical protein",
"fig|83332.12.peg.112","Rv0098","PATRIC.83332.12.NC_000962.CDS.107633.108151.fwd",107633,108151,519,"+","FIG00822554","PLF_1763_00002175","NP_214612.1",172,,"hypothetical protein Rv0098",
"fig|83332.12.peg.1077","Rv0965c","PATRIC.83332.12.NC_000962.CDS.1076778.1077137.rev",1076778,1077137,360,"-","FIG00820455","PLF_1763_00003012","NP_215480.1",119,,"hypothetical protein",
"fig|83332.12.peg.1078","Rv0966c","PATRIC.83332.12.NC_000962.CDS.1077233.1077835.rev",1077233,1077835,603,"-","FIG00821091","PLF_1763_00000117","NP_215481.2",200,,"hypothetical protein",
"fig|83332.12.peg.1079","Rv0967","PATRIC.83332.12.NC_000962.CDS.1077975.1078334.fwd",1077975,1078334,360,"+","FIG00821817","PLF_1763_00002926","NP_215482.1",119,,"Repressor CsoR of the copZA operon",
"fig|83332.12.peg.1080","Rv0968","PATRIC.83332.12.NC_000962.CDS.1078391.1078687.fwd",1078391,1078687,297,"+","FIG00822348","PLF_1763_00003587","NP_215483.1",98,,"hypothetical protein",
"fig|83332.12.peg.1081","Rv0969","PATRIC.83332.12.NC_000962.CDS.1078677.1081055.fwd",1078677,1081055,2379,"+","FIG01307133","PLF_1763_00026381","NP_215484.1",792,"ctpV","Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)","GO:0008551|cadmium-exporting ATPase activity;GO:0016463|zinc-exporting ATPase activity;GO:0004008|copper-exporting ATPase activity"
"fig|83332.12.peg.1082","Rv0970","PATRIC.83332.12.NC_000962.CDS.1081052.1081684.fwd",1081052,1081684,633,"+","FIG00829633","PLF_1763_00003203","NP_215485.1",210,,"Integral membrane protein",
"fig|83332.12.peg.1083","Rv0971c","PATRIC.83332.12.NC_000962.CDS.1081775.1082584.rev",1081775,1082584,810,"-","FIG00138403","PLF_1763_00001294","NP_215486.1",269,"echA7","Isohexenylglutaconyl-CoA hydratase (EC 4.2.1.57)","GO:0050005|isohexenylglutaconyl-CoA hydratase activity"
"fig|83332.12.peg.113","Rv0099","PATRIC.83332.12.NC_000962.CDS.108180.109778.fwd",108180,109778,1599,"+","FIG00018699","PLF_1763_00001977","NP_214613.1",532,"fadD10","Polyketide synthase modules and related proteins @ Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD10","GO:0004467|long-chain fatty acid-CoA ligase activity"
"fig|83332.12.peg.1084","Rv0972c","PATRIC.83332.12.NC_000962.CDS.1082584.1083750.rev",1082584,1083750,1167,"-","FIG00009849","PLF_1763_00001669","NP_215487.1",388,"fadE12","Acyl-CoA dehydrogenase (EC 1.3.8.-), Mycobacterial subgroup FadE12 in terpen utilization operon",
"fig|83332.12.peg.1085","Rv0973c","PATRIC.83332.12.NC_000962.CDS.1083747.1085750.rev",1083747,1085750,2004,"-","FIG00183535","PLF_1763_00000967","NP_215488.1",667,"accA2","Geranyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.5)","GO:0047925|geranoyl-CoA carboxylase activity"
"fig|83332.12.peg.1086","Rv0974c","PATRIC.83332.12.NC_000962.CDS.1085756.1087351.rev",1085756,1087351,1596,"-","FIG00138249","PLF_1763_00000172","NP_215489.1",531,"accD2","Geranyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.5)","GO:0047925|geranoyl-CoA carboxylase activity"
"fig|83332.12.peg.1087","Rv0975c","PATRIC.83332.12.NC_000962.CDS.1087348.1088496.rev",1087348,1088496,1149,"-","FIG00138712","PLF_1763_00001032","NP_215490.1",382,"fadE13","Citronellyl-CoA dehydrogenase @ Acyl-CoA dehydrogenase (EC 1.3.8.-), Mycobacterial subgroup FadE13",
"fig|83332.12.peg.1088","Rv0976c","PATRIC.83332.12.NC_000962.CDS.1088493.1090175.rev",1088493,1090175,1683,"-","FIG00839682","PLF_1763_00054249","NP_215491.1",560,,"Terpene utilization protein AtuA",
"fig|83332.12.peg.1089","Rv0977","PATRIC.83332.12.NC_000962.CDS.1090373.1093144.fwd",1090373,1093144,2772,"+","FIG01274276","PLF_1763_00154739","YP_177773.1",923,"PE_PGRS16","PE_PGRS family protein => PE_PGRS16",
"fig|83332.12.peg.1090","Rv0978c","PATRIC.83332.12.NC_000962.CDS.1093361.1094401.rev",1093361,1094401,1041,"-","FIG01326805","PLF_1763_00151612","YP_177774.1",346,"PE_PGRS17","PE_PGRS family protein => PE_PGRS17",
"fig|83332.12.peg.1091",,"PATRIC.83332.12.NC_000962.CDS.1094630.1094743.fwd",1094630,1094743,114,"+","FIG01397772","PLF_1763_00003667",,37,,"hypothetical protein",
"fig|83332.12.peg.1092","Rv0979A","PATRIC.83332.12.NC_000962.CDS.1094886.1095059.fwd",1094886,1095059,174,"+","FIG00006632","PLF_1763_00001342","YP_177635.1",57,"rpmF","LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-independent",
"fig|83332.12.peg.1093","Rv0980c","PATRIC.83332.12.NC_000962.CDS.1095078.1096496.rev",1095078,1096496,1419,"-","FIG01326805","PLF_1763_00154728","YP_177775.1",472,"PE_PGRS18","PE_PGRS family protein => PE_PGRS18",
"fig|83332.12.peg.1094","Rv0981","PATRIC.83332.12.NC_000962.CDS.1096822.1097508.fwd",1096822,1097508,687,"+","FIG01956054","PLF_1763_00001245","NP_215496.1",228,"mprA","Mycobacterial persistence response regulator MprA",
"fig|83332.12.peg.1095","Rv0982","PATRIC.83332.12.NC_000962.CDS.1097580.1099022.fwd",1097580,1099022,1443,"+","FIG00000846","PLF_1763_00084786","NP_215497.1",480,"mprB","Two component system sensor histidine kinase MprB",
"fig|83332.12.peg.114","Rv0100","PATRIC.83332.12.NC_000962.CDS.109771.110019.fwd",109771,110019,249,"+","FIG01311984","PLF_1763_00002250","NP_214614.1",82,,"pp-binding family protein Rv0100",
"fig|83332.12.peg.1096","Rv0983","PATRIC.83332.12.NC_000962.CDS.1099366.1100460.fwd",1099366,1100460,1095,"+","FIG00820933","PLF_1763_00005741","NP_215498.1",364,"pepD","Probable secreted or membrane serine protease Rv0983",
"fig|83332.12.peg.9",,"PATRIC.83332.12.NC_000962.CDS.10999.11121.fwd",10999,11121,123,"+","FIG00820624","PLF_1763_00003564",,40,,"hypothetical protein",
"fig|83332.12.peg.115","Rv0101","PATRIC.83332.12.NC_000962.CDS.110001.117539.fwd",110001,117539,7539,"+","FIG00018699","PLF_1763_00005861","NP_214615.1",2512,"nrp","Nonribosomal peptide synthetase in FadD10 cluster",
"fig|83332.12.peg.1097","Rv0984","PATRIC.83332.12.NC_000962.CDS.1100460.1101005.fwd",1100460,1101005,546,"+","FIG00032229","PLF_1763_00007695","NP_215499.1",181,"moaB2","Molybdopterin adenylyltransferase (EC 2.7.7.75)","GO:0061598|molybdopterin adenylyltransferase activity"
