"Rv_tag","Mb_tag","category","AA overlap","gene","Deleted in","Gene/RD region","Mb length","RD region","Rv length","Annotation"
"Rv0035","Mb0036","lipid metabolism","562 aa overlap","fadD34",,," 562 aa",," 562 aa ","probable fatty-acid-coa ligase fadd34 fatty-acid-coa synthetase fatty-acid-coa synthase"
"Rv0036c","Mb0037c","conserved hypothetical protein","257 aa overlap",,,," 257 aa",," 257 aa ","conserved protein"
"Rv0037c","Mb0038c","cell wall and cell processes","441 aa overlap",,,," 441 aa",," 441 aa ","probable conserved integral membrane protein"
"Rv0038","Mb0039","conserved hypothetical protein","202 aa overlap",,,," 202 aa",," 202 aa ","conserved protein"
"Rv0040c","Mb0041c","cell wall and cell processes","310 aa overlap","mtc28",,," 310 aa",," 310 aa ","secreted proline rich protein mtc28 proline rich 28 kda antigen"
"Rv0041","Mb0042","information pathways","969 aa overlap","leuS",,," 969 aa",," 969 aa ","probable leucyl-trna synthetase leus leucine--trna ligase leurs"
"Rv0042c","Mb0043c","regulatory proteins","208 aa overlap",,,," 208 aa",," 208 aa ","possible transcriptional regulatory protein probably marr-family"
"Rv0043c","Mb0044c","regulatory proteins","244 aa overlap",,,," 244 aa",," 244 aa ","probable transcriptional regulatory protein probably gntr-family"
"Rv0044c","Mb0045c","intermediate metabolism and respiration","264 aa overlap",,,," 264 aa",," 264 aa ","possible oxidoreductase"
"Rv0045c","Mb0046c","lipid metabolism","298 aa overlap",,,," 298 aa",," 298 aa ","possible hydrolase"
"Rv0047c","Mb0048c","conserved hypothetical protein","180 aa overlap",,,," 180 aa",," 180 aa ","conserved protein"
"Rv0049","Mb0050","conserved hypothetical protein","137 aa overlap",,,," 137 aa",," 137 aa ","conserved hypothetical protein"
"Rv0051","Mb0052","cell wall and cell processes","560 aa overlap",,,," 560 aa",,"560 aa ","probable conserved transmembrane protein"
"Rv0052","Mb0053","conserved hypothetical protein","187 aa overlap",,,," 187 aa",," 187 aa ","conserved protein"
"Rv0053","Mb0054","information pathways","96 aa overlap","rpsF",,," 96 aa",," 96 aa ","30s ribosomal protein s6 rpsf"
"Rv0054","Mb0055","information pathways","164 aa overlap","ssb",,," 164 aa",," 164 aa ","single-strand binding protein ssb helix-destabilizing protein"
"Rv0055","Mb0056","information pathways","84 aa overlap","rpsR1",,," 84 aa",," 84 aa ","30s ribosomal protein s18-1 rpsr1"
"Rv0056","Mb0057","information pathways","152 aa overlap","rplI",,," 152 aa",," 152 aa ","50s ribosomal protein l9 rpli"
"Rv0057","Mb0058","conserved hypothetical protein","173 aa overlap",,,," 173 aa",," 173 aa ","hypothetical protein"
"Rv0059","Mb0060","conserved hypothetical protein","230 aa overlap",,,," 230 aa",," 230 aa ","hypothetical protein"
"Rv0060","Mb0061","conserved hypothetical protein","352 aa overlap",,,," 352 aa",," 352 aa ","conserved hypothetical protein"
"Rv0061c","Mb0062A","conserved hypothetical protein","112 aa overlap",,,," 112 aa",," 112 aa ","hypothetical protein"
"Rv0063","Mb0064","intermediate metabolism and respiration","479 aa overlap",,,," 479 aa",," 479 aa ","possible oxidoreductase"
"Rv0065","Mb0066","virulence, detoxification,adaptation","133 aa overlap","vapc1",,," 133 aa",," 133 aa ","possible toxin vapc1"
"Rv0067c","Mb0068c","regulatory proteins","189 aa overlap",,,," 189 aa",," 189 aa ","possible transcriptional regulatory protein possibly tetr-family"
"Rv0069c","Mb0070c","intermediate metabolism and respiration","461 aa overlap","sdaA",,," 461 aa",," 461 aa ","probable l-serine dehydratase sdaa l-serine deaminase sdh l-sd"
"Rv0072","Mb0073","cell wall and cell processes","349 aa overlap",,,," 349 aa",," 349 aa ","probable glutamine-transport transmembrane protein abc transporter"
"Rv0074","Mb0076","conserved hypothetical protein","411 aa overlap",,,," 411 aa",," 411 aa ","conserved protein"
"Rv0075","Mb0077","intermediate metabolism and respiration","390 aa overlap",,,," 390 aa",," 390 aa ","probable aminotransferase"
"Rv0076c","Mb0078c","cell wall and cell processes","129 aa overlap",,,," 129 aa",," 129 aa ","probable membrane protein"
"Rv0077c","Mb0079c","intermediate metabolism and respiration","276 aa overlap",,,," 276 aa",," 276 aa ","probable oxidoreductase"
"Rv0078B","Mb0081A","conserved hypothetical protein","68 aa overlap",,,," 68 aa",," 68 aa ","conserved protein"
"Rv0078A","Mb0081c","conserved hypothetical protein","197 aa overlap",,,," 197 aa",," 197 aa ","hypothetical protein"
"Rv0079","Mb0082","conserved hypothetical protein","273 aa overlap",,,," 273 aa",," 273 aa ","unknown protein"
"Rv0081","Mb0084","regulatory proteins","114 aa overlap",,,," 114 aa",," 114 aa ","probable transcriptional regulatory protein"
"Rv0082","Mb0085","intermediate metabolism and respiration","159 aa overlap",,,," 159 aa",," 159 aa ","probable oxidoreductase"
"Rv0084","Mb0087","intermediate metabolism and respiration","316 aa overlap","hycD",,," 316 aa",," 316 aa ","possible formate hydrogenlyase hycd fhl"
"Rv0085","Mb0088","intermediate metabolism and respiration","220 aa overlap","hycP",,," 220 aa",," 220 aa ","possible hydrogenase hycp"
"Rv0088","Mb0091","lipid metabolism","224 aa overlap",,,," 224 aa",," 224 aa ","possible polyketide cyclase/dehydrase"
"Rv0089","Mb0092","intermediate metabolism and respiration","197 aa overlap",,,," 197 aa",," 197 aa ","possible methyltransferase/methylase"
"Rv0090","Mb0093","cell wall and cell processes","256 aa overlap",,,," 256 aa",," 256 aa ","possible membrane protein"
"Rv0091","Mb0094","intermediate metabolism and respiration","255 aa overlap","mtn",,," 255 aa",," 255 aa ","probable bifunctional mta/sah nucleosidase mtn: 5'-methylthioadenosine nucleosidase methylthioadenosine methylthioribohydrolase b s-adenosylhomocysteine nucleosidase s-adenosyl-l-homocysteine homocysteinylribohydrolase"
"Rv0097","Mb0100","intermediate metabolism and respiration","289 aa overlap",,,," 289 aa",," 289 aa ","possible oxidoreductase"
"Rv0098","Mb0101","lipid metabolism","183 aa overlap","fcot",,," 183 aa",," 183 aa ","probable fatty acyl coa thioesterase type iii fcot"
"Rv0099","Mb0102","lipid metabolism","540 aa overlap","fadD10",,," 540 aa",," 540 aa ","possible fatty-acid-coa ligase fadd10 fatty-acid-coa synthetase fatty-acid-coa synthase"
"Rv0100","Mb0103","conserved hypothetical protein","78 aa overlap",,,," 78 aa",,"78 aa","conserved hypothetical protein"
"Rv0101","Mb0104","lipid metabolism","2512 aa overlap","nrp",,," 2512 aa",," 2512 aa ","probable peptide synthetase nrp peptide synthase"
"Rv0102","Mb0105","cell wall and cell processes","661 aa overlap",,,," 661 aa",," 661 aa ","probable conserved integral membrane protein"
"Rv0105c","Mb0108c","information pathways","94 aa overlap","rpmB1",,," 94 aa",," 94 aa ","50s ribosomal protein l28-1 rpmb1"
"Rv0106","Mb0109","conserved hypothetical protein","398 aa overlap",,,," 398 aa",," 398 aa ","conserved hypothetical protein"
"Rv0108c","Mb0112c","conserved hypothetical protein","69 aa overlap",,,," 69 aa",," 69 aa ","hypothetical protein"
"Rv0110","Mb0114","cell wall and cell processes","249 aa overlap",,,," 249 aa",," 249 aa ","probable conserved integral membrane protein"
"Rv0111","Mb0115","intermediate metabolism and respiration","685 aa overlap",,,," 685 aa",," 685 aa ","possible transmembrane acyltransferase"
"Rv0112","Mb0116","cell wall and cell processes","318 aa overlap","gca",,," 318 aa",," 318 aa ","possible gdp-mannose 4c6-dehydratase gca gdp-d-mannose dehydratase"
"Rv0113","Mb0117","cell wall and cell processes","196 aa overlap","gmhA",,," 196 aa",," 196 aa ","probable sedoheptulose-7-phosphate isomerase gmha phosphoheptose isomerase"
"Rv0116c","Mb0120c","cell wall and cell processes","251 aa overlap","ldta",,," 251 aa",," 251 aa ","probable lcd-transpeptidase ldta"
"Rv0117","Mb0121","regulatory proteins","314 aa overlap","oxyS",,," 314 aa",," 314 aa ","oxidative stress response regulatory protein oxys"
"Rv0119","Mb0123","lipid metabolism","525 aa overlap","fadD7",,," 525 aa",," 525 aa ","probable fatty-acid-coa ligase fadd7 fatty-acid-coa synthetase fatty-acid-coa synthase"
"Rv0121c","Mb0126c","conserved hypothetical protein","144 aa overlap",,,," 144 aa",," 144 aa ","conserved protein"
"Rv0122","Mb0127","conserved hypothetical protein","122 aa overlap",,,," 122 aa",," 122 aa ","hypothetical protein"
"Rv0123","Mb0128","conserved hypothetical protein","122 aa overlap",,,," 122 aa",," 122 aa ","unknown protein"
"Rv0125","Mb0130","intermediate metabolism and respiration","355 aa overlap","pepA",,," 355 aa",," 355 aa ","probable serine protease pepa serine proteinase mtb32a"
"Rv0126","Mb0131","virulence, detoxification,adaptation","601 aa overlap","treS",,," 601 aa",," 601 aa ","trehalose synthase tres"
"Rv0128","Mb0133","cell wall and cell processes","259 aa overlap",,,," 259 aa",," 259 aa ","probable conserved transmembrane protein"
"Rv0129c","Mb0134c","lipid metabolism","340 aa overlap","fbpC",,," 340 aa",," 340 aa ","secreted antigen 85-c fbpc 85c antigen 85 complex c ag58c mycolyl transferase 85c fibronectin-binding protein c"
"Rv0130","Mb0135","intermediate metabolism and respiration","151 aa overlap","htdz",,," 151 aa",," 151 aa ","probable 3-hydroxyl-thioester dehydratase"
"Rv0131c","Mb0136c","lipid metabolism","447 aa overlap","fadE1",,," 447 aa",," 447 aa ","probable acyl-coa dehydrogenase fade1"
"Rv0135c","Mb0140c","regulatory proteins","201 aa overlap",,,," 201 aa",," 201 aa ","possible transcriptional regulatory protein"
"Rv0136","Mb0141","intermediate metabolism and respiration","441 aa overlap","cyp138",,," 441 aa",," 441 aa ","probable cytochrome p450 138 cyp138"
"Rv0137c","Mb0142c","intermediate metabolism and respiration","182 aa overlap","msrA",,," 182 aa",," 182 aa ","probable peptide methionine sulfoxide reductase msra protein-methionine-s-oxide reductase peptide meto reductase"
"Rv0140","Mb0145","conserved hypothetical protein","126 aa overlap",,,," 126 aa",," 126 aa ","conserved protein"
"Rv0141c","Mb0146c","conserved hypothetical protein","136 aa overlap",,,," 136 aa",," 136 aa ","unknown protein"
"Rv0142","Mb0147","conserved hypothetical protein","308 aa overlap",,,," 308 aa",," 308 aa ","conserved hypothetical protein"
"Rv0144","Mb0149","regulatory proteins","280 aa overlap",,,," 280 aa",," 280 aa ","probable transcriptional regulatory protein possibly tetr-family"
"Rv0145","Mb0150","lipid metabolism","317 aa overlap",,,," 317 aa",," 317 aa ","possible s-adenosylmethionine-dependent methyltransferase"
"Rv0146","Mb0151","lipid metabolism","310 aa overlap",,,," 310 aa",," 310 aa ","possible s-adenosylmethionine-dependent methyltransferase"
"Rv0147","Mb0152","intermediate metabolism and respiration","506 aa overlap",,,," 506 aa",," 506 aa ","probable aldehyde dehydrogenase nadb dependent"
"Rv0148","Mb0153","intermediate metabolism and respiration","286 aa overlap",,,," 286 aa",," 286 aa ","probable short-chain type dehydrogenase/reductase"
"Rv0149","Mb0154","intermediate metabolism and respiration","322 aa overlap",,,," 322 aa",," 322 aa ","possible quinone oxidoreductase nadph:quinone oxidoreductase zeta-crystallin"
"Rv0150c","Mb0155c","conserved hypothetical protein","95 aa overlap",,,," 95 aa",," 95 aa ","conserved hypothetical protein"
"Rv0152c","Mb0157c","PE/PPE","525 aa overlap","PE2",,," 525 aa",," 525 aa ","pe family protein pe2"
"Rv0154c","Mb0159c","lipid metabolism","403 aa overlap","fadE2",,," 403 aa",," 403 aa ","probable acyl-coa dehydrogenase fade2"
"Rv0155","Mb0160","intermediate metabolism and respiration","366 aa overlap","pntAa",,," 366 aa",," 366 aa ","probable nadp transhydrogenase subunit alpha pntaa [first partb catalytic part] pyridine nucleotide transhydrogenase subunit alpha nicotinamide nucleotide transhydrogenase subunit alpha"
"Rv0157","Mb0162","intermediate metabolism and respiration","475 aa overlap","pntB",,," 475 aa",," 475 aa ","probable nadp transhydrogenase subunit beta pntb [integral membrane protein] pyridine nucleotide transhydrogenase subunit beta nicotinamide nucleotide transhydrogenase subunit beta"
"Rv0157A","Mb0162A","conserved hypothetical protein","42 aa overlap",,,," 42 aa",," 42 aa ","conserved protein"
"Rv0158","Mb0163","regulatory proteins","214 aa overlap",,,," 214 aa",," 214 aa ","probable transcriptional regulatory protein possibly tetr-family"
"Rv0161","Mb0166","intermediate metabolism and respiration","449 aa overlap",,,," 449 aa",," 449 aa ","possible oxidoreductase"
"Rv0162c","Mb0167c","intermediate metabolism and respiration","383 aa overlap","adhE1",,," 383 aa",," 383 aa ","probable zinc-type alcohol dehydrogenase e subunit adhe1"
"Rv0163","Mb0168","conserved hypothetical protein","151 aa overlap",,,," 151 aa",," 151 aa ","conserved protein"
"Rv0164","Mb0169","conserved hypothetical protein","161 aa overlap","TB18.5",,," 161 aa",," 161 aa ","conserved protein tb18.5"
"Rv0167","Mb0173","virulence, detoxification,adaptation","265 aa overlap","yrbE1A",,," 265 aa",," 265 aa ","conserved integral membrane protein yrbe1a"
"Rv0168","Mb0174","virulence, detoxification,adaptation","289 aa overlap","yrbE1B",,," 289 aa",," 289 aa ","conserved integral membrane protein yrbe1b"
"Rv0172","Mb0178","virulence, detoxification,adaptation","530 aa overlap","mce1D",,," 530 aa",," 530 aa ","mce-family protein mce1d"
"Rv0173","Mb0179","cell wall and cell processes","390 aa overlap","lprK",,," 390 aa",," 390 aa ","possible mce-family lipoprotein lprk mce-family lipoprotein mce1e"
"Rv0175","Mb0181","cell wall and cell processes","213 aa overlap",,,," 213 aa",," 213 aa ","probable conserved mce associated membrane protein"
"Rv0177","Mb0183","conserved hypothetical protein","184 aa overlap",,,," 184 aa",," 184 aa ","probable conserved mce associated protein"
"Rv0178","Mb0184","cell wall and cell processes","244 aa overlap",,,," 244 aa",," 244 aa ","probable conserved mce associated membrane protein"
"Rv0180c","Mb0186c","cell wall and cell processes","452 aa overlap","Mb0186c",,," 452 aa",," 452 aa ","probable conserved transmembrane protein"
"Rv0181c","Mb0187c","conserved hypothetical protein","244 aa overlap",,,," 244 aa",," 244 aa ","conserved hypothetical protein"
"Rv0182c","Mb0188c","information pathways","370 aa overlap","sigG",,," 370 aa",," 370 aa ","probable alternative rna polymerase sigma factor sigg rna polymerase ecf type sigma factor"
"Rv0183","Mb0189","intermediate metabolism and respiration","279 aa overlap",,,," 279 aa",," 279 aa ","possible lysophospholipase"
"Rv0184","Mb0190","conserved hypothetical protein","249 aa overlap",,,," 249 aa",," 249 aa ","conserved hypothetical protein"
"Rv0185","Mb0191","conserved hypothetical protein","169 aa overlap",,,," 169 aa",," 169 aa ","conserved hypothetical protein"
"Rv0186A","Mb0192A","virulence, detoxification,adaptation","53 aa overlap","mymT",,," 53 aa",," 53 aa ","metallothioneinc mymt"
"Rv0187","Mb0193","intermediate metabolism and respiration","220 aa overlap",,,," 220 aa",," 220 aa ","probable o-methyltransferase"
"Rv0188","Mb0194","cell wall and cell processes","143 aa overlap",,,," 143 aa",," 143 aa ","probable conserved transmembrane protein"
"Rv0189c","Mb0195c","intermediate metabolism and respiration","575 aa overlap","ilvD",,," 575 aa",," 575 aa ","probable dihydroxy-acid dehydratase ilvd dad"
"Rv0190","Mb0196","conserved hypothetical protein","96 aa overlap",,,," 96 aa",," 96 aa ","conserved protein"
"Rv0191","Mb0197","cell wall and cell processes","413 aa overlap",,,," 413 aa",," 413 aa ","probable conserved integral membrane protein"
"Rv0195","Mb0201","regulatory proteins","211 aa overlap",,,," 211 aa",," 211 aa ","possible two component transcriptional regulatory protein probably luxr-family"
"Rv0196","Mb0202","regulatory proteins","194 aa overlap",,,," 194 aa",," 194 aa ","possible transcriptional regulatory protein"
"Rv0198c","Mb0204c","intermediate metabolism and respiration","663 aa overlap","zmp1",,," 663 aa",," 663 aa ","probable zinc metalloprotease zmp1"
"Rv0199","Mb0205","cell wall and cell processes","219 aa overlap",,,," 219 aa",," 219 aa ","probable conserved membrane protein"
"Rv0200","Mb0206","cell wall and cell processes","229 aa overlap",,,," 229 aa",," 229 aa ","possible conserved transmembrane protein"
"Rv0201c","Mb0207c","conserved hypothetical protein","167 aa overlap",,,," 167 aa",," 167 aa ","conserved protein"
"Rv0202c","Mb0208c","cell wall and cell processes","966 aa overlap","mmpL11",,," 966 aa",," 966 aa ","probable conserved transmembrane transport protein mmpl11"
"Rv0203","Mb0209","cell wall and cell processes","136 aa overlap",,,," 136 aa",," 136 aa ","possible exported protein"
"Rv0207c","Mb0213c","conserved hypothetical protein","242 aa overlap",,,," 242 aa",," 242 aa ","conserved hypothetical protein"
"Rv0208c","Mb0214c","intermediate metabolism and respiration","263 aa overlap",,,," 263 aa",," 263 aa ","hypothetical methlytransferase methylase"
"Rv0211","Mb0217","intermediate metabolism and respiration","606 aa overlap","pckA",,," 606 aa",," 606 aa ","probable iron-regulated phosphoenolpyruvate carboxykinase [gtp] pcka phosphoenolpyruvate carboxylase pepckpep carboxykinase"
"Rv0212c","Mb0218c","regulatory proteins","323 aa overlap","nadR",,," 323 aa",," 323 aa ","possible transcriptional regulatory protein nadr probably asnc-family"
"Rv0213c","Mb0219c","intermediate metabolism and respiration","437 aa overlap",,,," 437 aa",," 437 aa ","possible methyltransferase methylase"
"Rv0216","Mb0222","intermediate metabolism and respiration","337 aa overlap",,,," 337 aa",," 337 aa ","double hotdog hydratase"
"Rv0219","Mb0225","cell wall and cell processes","182 aa overlap",,,," 182 aa",," 182 aa ","probable conserved transmembrane protein"
"Rv0220","Mb0226","intermediate metabolism and respiration","403 aa overlap","lipC",,," 403 aa",," 403 aa ","probable esterase lipc"
"Rv0225","Mb0230","cell wall and cell processes","384 aa overlap",,,," 384 aa",," 384 aa ","possible conserved protein"
"Rv0226c","Mb0231c","cell wall and cell processes","576 aa overlap",,,," 576 aa",," 576 aa ","probable conserved transmembrane protein"
"Rv0228","Mb0233","intermediate metabolism and respiration","407 aa overlap",,,," 407 aa",," 407 aa ","probable integral membrane acyltransferase"
"Rv0229c","Mb0234c","cell wall and cell processes","226 aa overlap",,,," 226 aa",," 226 aa ","possible conserved membrane protein with pin domain"
"Rv0231","Mb0236","lipid metabolism","568 aa overlap","fadE4",,," 568 aa",," 568 aa ","probable acyl-coa dehydrogenase fade4"
"Rv0232","Mb0237","regulatory proteins","229 aa overlap",,,," 229 aa",," 229 aa ","probable transcriptional regulatory protein probably tetr/acrr-family"
"Rv0234c","Mb0239c","intermediate metabolism and respiration","511 aa overlap","gabD1",,," 511 aa",," 511 aa ","succinate-semialdehyde dehydrogenase [nadpb] dependent ssdh gabd1"
"Rv0235c","Mb0240c","cell wall and cell processes","482 aa overlap",,,," 482 aa",," 482 aa ","probable conserved transmembrane protein"
"Rv0236A","Mb0242c","cell wall and cell processes","57 aa overlap",,,," 57 aa",," 57 aa ","small secreted protein"
"Rv0238","Mb0244","regulatory proteins","204 aa overlap",,,," 204 aa",," 204 aa ","possible transcriptional regulatory protein probably tetr-family"
"Rv0239","Mb0245","virulence, detoxification,adaptation","77 aa overlap","vapb24",,," 77 aa",," 77 aa ","possible antitoxin vapb24"
"Rv0241c","Mb0247c","intermediate metabolism and respiration","280 aa overlap","htdx",,," 280 aa",," 280 aa ","probable 3-hydroxyacyl-thioester dehydratase htdx"
"Rv0242c","Mb0248c","lipid metabolism","454 aa overlap","fabG4",,," 454 aa",," 454 aa ","probable 3-oxoacyl-[acyl-carrier protein] reductase fabg4 3-ketoacyl-acyl carrier protein reductase"
"Rv0243","Mb0249","lipid metabolism","440 aa overlap","fadA2",,," 440 aa",," 440 aa ","probable acetyl-coa acyltransferase fada2 3-ketoacyl-coa thiolase beta-ketothiolase"
"Rv0245","Mb0251","intermediate metabolism and respiration","162 aa overlap",,,," 162 aa",," 162 aa ","possible oxidoreductase"
"Rv0247c","Mb0253c","intermediate metabolism and respiration","248 aa overlap",,,," 248 aa",," 248 aa ","probable succinate dehydrogenase [iron-sulfur subunit] succinic dehydrogenase"
"Rv0248c","Mb0254c","intermediate metabolism and respiration","646 aa overlap",,,," 646 aa",," 646 aa ","probable succinate dehydrogenase [iron-sulfur subunit] succinic dehydrogenase"
"Rv0249c","Mb0255c","intermediate metabolism and respiration","273 aa overlap",,,," 273 aa",," 273 aa ","probable succinate dehydrogenase [membrane anchor subunit] succinic dehydrogenase"
"Rv0250c","Mb0256c","conserved hypothetical protein","97 aa overlap",,,," 97 aa",," 97 aa ","conserved protein"
"Rv0251c","Mb0257c","virulence, detoxification,adaptation","159 aa overlap","hsp",,," 159 aa",," 159 aa ","heat shock protein hsp heat-stress-induced ribosome-binding protein a"
"Rv0252","Mb0258","intermediate metabolism and respiration","853 aa overlap","nirB",,," 853 aa",," 853 aa ","probable nitrite reductase [nadph] large subunit [fad flavoprotein] nirb"
"Rv0253","Mb0259","intermediate metabolism and respiration","118 aa overlap","nirD",,," 118 aa",," 118 aa ","probable nitrite reductase [nadph] small subunit nird"
"Rv0254c","Mb0260c","intermediate metabolism and respiration","174 aa overlap","cobU",,," 174 aa",," 174 aa ","probable bifunctional cobalamin biosynthesis protein cobu: cobinamide kinase b cobinamide phosphate guanylyltransferase"
"Rv0255c","Mb0261c","intermediate metabolism and respiration","494 aa overlap","cobQ1",,," 494 aa",," 494 aa ","probable cobyric acid synthase cobq1"
"Rv0256c","Mb0262c","PE/PPE","556 aa overlap","PPE2",,," 556 aa",," 556 aa ","ppe family protein ppe2"
"Rv0258c","Mb0264c","conserved hypothetical protein","151 aa overlap",,,," 151 aa",," 151 aa ","conserved hypothetical protein"
"Rv0260c","Mb0266c","regulatory proteins","381 aa overlap",,,," 381 aa",," 381 aa ","possible transcriptional regulatory protein"
"Rv0261c","Mb0267c","cell wall and cell processes","469 aa overlap","narK3",,," 469 aa",," 469 aa ","probable integral membrane nitrite extrusion protein nark3 nitrite facilitator"
"Rv0262c","Mb0268c","virulence, detoxification,adaptation","181 aa overlap","aac",,," 181 aa",," 181 aa ","aminoglycoside 2'-n-acetyltransferase aac aac2'-ic"
"Rv0263c","Mb0269c","conserved hypothetical protein","300 aa overlap",,,," 300 aa",," 300 aa ","conserved hypothetical protein"
"Rv0264c","Mb0270c","conserved hypothetical protein","210 aa overlap",,,," 210 aa",," 210 aa ","conserved hypothetical protein"
"Rv0265c","Mb0271c","cell wall and cell processes","330 aa overlap",,,," 330 aa",," 330 aa ","probable periplasmic iron-transport lipoprotein"
"Rv0266c","Mb0272c","intermediate metabolism and respiration","1209 aa overlap","oplA",,," 1209 aa",," 1209 aa ","probable 5-oxoprolinase opla 5-oxo-l-prolinase pyroglutamase 5-opase"
"Rv0267","Mb0273","cell wall and cell processes","463 aa overlap","narU",,," 463 aa",," 463 aa ","probable integral membrane nitrite extrusion protein naru nitrite facilitator"
"Rv0268c","Mb0274c","conserved hypothetical protein","169 aa overlap",,,," 169 aa",," 169 aa ","hypothetical protein"
"Rv0269c","Mb0275c","conserved hypothetical protein","397 aa overlap",,,," 397 aa",," 397 aa ","conserved hypothetical protein"
"Rv0270","Mb0276","lipid metabolism","560 aa overlap","fadD2",,," 560 aa",," 560 aa ","probable fatty-acid-coa ligase fadd2 fatty-acid-coa synthetase fatty-acid-coa synthase"
"Rv0271c","Mb0277c","lipid metabolism","731 aa overlap","fadE6",,," 731 aa",," 731 aa ","probable acyl-coa dehydrogenase fade6"
"Rv0273c","Mb0279c","regulatory proteins","206 aa overlap",,,," 206 aa",," 206 aa ","possible transcriptional regulatory protein"
"Rv0274","Mb0280","conserved hypothetical protein","193 aa overlap",,,," 193 aa",," 193 aa ","conserved protein"
"Rv0276","Mb0282","conserved hypothetical protein","306 aa overlap",,,," 306 aa",," 306 aa ","conserved hypothetical protein"
"Rv0277c","Mb0283c","virulence, detoxification,adaptation","142 aa overlap","vapc25",,," 142 aa",," 142 aa ","possible toxin vapc25. contains pin domain."
"Rv0281","Mb0289","lipid metabolism","302 aa overlap",,,," 302 aa",," 302 aa ","possible s-adenosylmethionine-dependent methyltransferase"
"Rv0283","Mb0291","cell wall and cell processes","538 aa overlap","eccb3",,," 538 aa",," 538 aa ","esx conserved component eccb3. esx-3 type vii secretion system protein. possible membrane protein."
"Rv0285","Mb0293","PE/PPE","102 aa overlap","PE5",,," 102 aa",," 102 aa ","pe family protein pe5"
"Rv0286","Mb0294","PE/PPE","513 aa overlap","PPE4",,," 513 aa",," 513 aa ","ppe family protein ppe4"
"Rv0287","Mb0295","cell wall and cell processes","97 aa overlap","esxG",,," 97 aa",," 97 aa ","esat-6 like protein esxg conserved protein tb9.8"
"Rv0288","Mb0296","cell wall and cell processes","96 aa overlap","esxH",,," 96 aa",," 96 aa ","low molecular weight protein antigen 7 esxh 10 kda antigen cfp-7 protein tb10.4"
"Rv0289","Mb0297","cell wall and cell processes","295 aa overlap","espg3",,," 295 aa",," 295 aa ","esx-3 secretion-associated protein espg3"
"Rv0291","Mb0299","intermediate metabolism and respiration","461 aa overlap","mycp3",,," 461 aa",," 461 aa ","probable membrane-anchored mycosin mycp3 serine protease subtilisin-like protease subtilase-like mycosin-3"
"Rv0293c","Mb0301c","conserved hypothetical protein","400 aa overlap",,,," 400 aa",," 400 aa ","conserved protein"
"Rv0294","Mb0302","intermediate metabolism and respiration","261 aa overlap","tam",,," 261 aa",," 261 aa ","probable trans-aconitate methyltransferase tam"
"Rv0295c","Mb0303c","conserved hypothetical protein","267 aa overlap",,,," 267 aa",," 267 aa ","conserved protein"
