,id,AssemblyAccession,BioSampleAccn,BioSampleId,SubmitterOrganization,GenbankAccession,strain,host,collection_date,geo_loc_name,sample_type,link,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,lat_lon,num_replicons,ref_biomaterial,isolation_source,collected_by,host_disease,isolate,depth,elev,derived-from,eLMSG_genome_id,eLMSG_link,metagenomic,environmental-sample,metagenome-source,passage_history,host_tissue_sampled,ENA first public,ENA last update,ENA-CHECKLIST,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,collection date,common name,geographic location (country and/or sea),geographic location (region and locality),host health state,host scientific name,host_clinical_signs,isolation source,sample name,assembly quality,assembly software,binning parameters,binning software,broker name,completeness score,completeness software,contamination score,environment (biome),environment (feature),environment (material),geographic location (latitude),geographic location (longitude),investigation type,metagenomic source,project name,sample derived from,sequencing method,taxonomic identity marker,biomaterial_provider,isolate_name_alias,SHEN,isolation-source,country,host_age,culture-collection,note,clone,type-material,collection-date,nat-host,region,pair,kk_code,tissue,source,PCR_DDGE,clade
GCA_016452425,16629321,GCF_016452425.1,SAMN15246610,15246610,Belgian Mycoplasma consortium,GCA_016452425.2,Mb175,Bos taurus,2017,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/452/425/GCA_016452425.2_ASM1645242v2/GCA_016452425.2_ASM1645242v2.fna.gz,Beef,Deep nasal swab,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_016452765,16629311,GCF_016452765.1,SAMN15246591,15246591,Belgian Mycoplasma consortium,GCA_016452765.2,Mb1,Bos taurus,2016,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/452/765/GCA_016452765.2_ASM1645276v2/GCA_016452765.2_ASM1645276v2.fna.gz,Beef,Lung,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_018136415,16607461,GCA_018136415.2,SAMN15246624,15246624,Belgian Mycoplasma consortium,GCA_018136415.2,PG45.10,Bos taurus,not applicable,Belgium,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/136/415/GCA_018136415.2_ASM1813641v2/GCA_018136415.2_ASM1813641v2.fna.gz,not applicable,not applicable,not applicable,missing,not applicable,1,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,Europe,,,,,,
GCA_030015125,16586171,GCF_030015125.1,SAMN34138650,34138650,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_030015125.1,15DD0140,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/015/125/GCA_030015125.1_ASM3001512v1/GCA_030015125.1_ASM3001512v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029989505,16552991,GCF_029989505.1,SAMN34138654,34138654,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029989505.1,15DD0163,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/989/505/GCA_029989505.1_ASM2998950v1/GCA_029989505.1_ASM2998950v1.fna.gz,,,,,,,,lung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029989465,16552981,GCF_029989465.1,SAMN34138646,34138646,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029989465.1,14DD0148,Bos taurus,2014,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/989/465/GCA_029989465.1_ASM2998946v1/GCA_029989465.1_ASM2998946v1.fna.gz,,,,,,,,Joint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029989445,16552971,GCF_029989445.1,SAMN34138668,34138668,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029989445.1,15DD0263,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/989/445/GCA_029989445.1_ASM2998944v1/GCA_029989445.1_ASM2998944v1.fna.gz,,,,,,,,Joint puncture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029989415,16552951,GCF_029989415.1,SAMN34138647,34138647,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029989415.1,14DD0156,Bos taurus,2014,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/989/415/GCA_029989415.1_ASM2998941v1/GCA_029989415.1_ASM2998941v1.fna.gz,,,,,,,,nasal swab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029989345,16552921,GCF_029989345.1,SAMN34138676,34138676,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029989345.1,17DD0020,Bos taurus,2017,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/989/345/GCA_029989345.1_ASM2998934v1/GCA_029989345.1_ASM2998934v1.fna.gz,,,,,,,,Pulmonary tissue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855905,16493321,GCA_029855905.1,SAMN34138674,34138674,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855905.1,16DL0615,Bos taurus,2016,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/905/GCA_029855905.1_ASM2985590v1/GCA_029855905.1_ASM2985590v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855885,16493311,GCF_029855885.1,SAMN34138672,34138672,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855885.1,16DD0100,Bos taurus,2016,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/885/GCA_029855885.1_ASM2985588v1/GCA_029855885.1_ASM2985588v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855865,16493301,GCF_029855865.1,SAMN34138671,34138671,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855865.1,16DD0054,Bos taurus,2016,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/865/GCA_029855865.1_ASM2985586v1/GCA_029855865.1_ASM2985586v1.fna.gz,,,,,,,,Pulmonary tissue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855845,16493291,GCF_029855845.1,SAMN34138670,34138670,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855845.1,16DD0001,Bos taurus,2016,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/845/GCA_029855845.1_ASM2985584v1/GCA_029855845.1_ASM2985584v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855825,16493281,GCF_029855825.1,SAMN34138669,34138669,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855825.1,15DL0124,Bos taurus,2016,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/825/GCA_029855825.1_ASM2985582v1/GCA_029855825.1_ASM2985582v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855805,16493271,GCF_029855805.1,SAMN34138667,34138667,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855805.1,15DD0261,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/805/GCA_029855805.1_ASM2985580v1/GCA_029855805.1_ASM2985580v1.fna.gz,,,,,,,,nasal swab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855785,16493261,GCF_029855785.1,SAMN34138666,34138666,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855785.1,15DD0250,Bos taurus,2014,Poland,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/785/GCA_029855785.1_ASM2985578v1/GCA_029855785.1_ASM2985578v1.fna.gz,,,,,,,,nasal swab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland,,,,,,,,Europe,,,,,,
GCA_029855765,16493251,GCF_029855765.1,SAMN34138665,34138665,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855765.1,15DD0249,Bos taurus,2014,Poland,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/765/GCA_029855765.1_ASM2985576v1/GCA_029855765.1_ASM2985576v1.fna.gz,,,,,,,,nasal swab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland,,,,,,,,Europe,,,,,,
GCA_029855745,16493241,GCF_029855745.1,SAMN34138664,34138664,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855745.1,15DD0240,Bos taurus,2014,Poland,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/745/GCA_029855745.1_ASM2985574v1/GCA_029855745.1_ASM2985574v1.fna.gz,,,,,,,,nasal swab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland,,,,,,,,Europe,,,,,,
GCA_029855725,16493231,GCF_029855725.1,SAMN34138663,34138663,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855725.1,15DD0238,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/725/GCA_029855725.1_ASM2985572v1/GCA_029855725.1_ASM2985572v1.fna.gz,,,,,,,,lung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855705,16493221,GCF_029855705.1,SAMN34138662,34138662,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855705.1,15DD0234,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/705/GCA_029855705.1_ASM2985570v1/GCA_029855705.1_ASM2985570v1.fna.gz,,,,,,,,lung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855685,16493211,GCF_029855685.1,SAMN34138661,34138661,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855685.1,15DD0233,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/685/GCA_029855685.1_ASM2985568v1/GCA_029855685.1_ASM2985568v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855665,16493201,GCF_029855665.1,SAMN34138660,34138660,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855665.1,15DD0228,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/665/GCA_029855665.1_ASM2985566v1/GCA_029855665.1_ASM2985566v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855645,16493191,GCA_029855645.1,SAMN34138659,34138659,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855645.1,15DD0218,Bos taurus,2018,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/645/GCA_029855645.1_ASM2985564v1/GCA_029855645.1_ASM2985564v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855625,16493181,GCF_029855625.1,SAMN34138658,34138658,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855625.1,15DD0210,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/625/GCA_029855625.1_ASM2985562v1/GCA_029855625.1_ASM2985562v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855605,16493171,GCF_029855605.1,SAMN34138657,34138657,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855605.1,15DD0207,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/605/GCA_029855605.1_ASM2985560v1/GCA_029855605.1_ASM2985560v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855585,16493161,GCF_029855585.1,SAMN34138656,34138656,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855585.1,15DD0165,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/585/GCA_029855585.1_ASM2985558v1/GCA_029855585.1_ASM2985558v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855565,16493151,GCA_029855565.1,SAMN34138655,34138655,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855565.1,15DD0164,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/565/GCA_029855565.1_ASM2985556v1/GCA_029855565.1_ASM2985556v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855545,16493141,GCF_029855545.1,SAMN34138653,34138653,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855545.1,15DD0161,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/545/GCA_029855545.1_ASM2985554v1/GCA_029855545.1_ASM2985554v1.fna.gz,,,,,,,,lung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855525,16493131,GCF_029855525.1,SAMN34138652,34138652,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855525.1,15DD0160,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/525/GCA_029855525.1_ASM2985552v1/GCA_029855525.1_ASM2985552v1.fna.gz,,,,,,,,lung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855505,16493121,GCF_029855505.1,SAMN34138651,34138651,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855505.1,15DD0141,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/505/GCA_029855505.1_ASM2985550v1/GCA_029855505.1_ASM2985550v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855485,16493111,GCF_029855485.1,SAMN34138649,34138649,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855485.1,15DD0123,Bos taurus,2015,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/485/GCA_029855485.1_ASM2985548v1/GCA_029855485.1_ASM2985548v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855465,16493101,GCF_029855465.1,SAMN34138648,34138648,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855465.1,14DD0475,Bos taurus,2014,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/465/GCA_029855465.1_ASM2985546v1/GCA_029855465.1_ASM2985546v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855445,16493091,GCF_029855445.1,SAMN34138645,34138645,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855445.1,14DD0147,Bos taurus,2014,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/445/GCA_029855445.1_ASM2985544v1/GCA_029855445.1_ASM2985544v1.fna.gz,,,,,,,,nasal swab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855405,16493081,GCF_029855405.1,SAMN34138644,34138644,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855405.1,13DD0918,Bos taurus,2013,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/405/GCA_029855405.1_ASM2985540v1/GCA_029855405.1_ASM2985540v1.fna.gz,,,,,,,,nasal swab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029855345,16493071,GCA_029855345.1,SAMN34138643,34138643,RNA Bioinformatics and High-Throughput Analysis Friedrich Schiller University Jena,GCA_029855345.1,11DD0261,Bos taurus,2011,Germany,tissue sample,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/855/345/GCA_029855345.1_ASM2985534v1/GCA_029855345.1_ASM2985534v1.fna.gz,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,Europe,,,,,,
GCA_029536715,16335821,GCF_029536715.1,SAMN33767806,33767806,Iowa State University,GCA_029536715.1,MB651,calf,2021,Turkey: city of Erzurum,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/536/715/GCA_029536715.1_ASM2953671v1/GCA_029536715.1_ASM2953671v1.fna.gz,,,,,39.90373682 N 41.23434874 E,,,lung,Mehmet Cemal Adiguzel,pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkey,,,,,,,,Turkey,,,,,,
GCA_029201205,16171981,GCF_029201205.1,SAMN33555446,33555446,Institute of Microbiology,GCA_029201205.1,1E2007VBG,Bos taurus,2007,Austria: Vorarlberg,udder,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/201/205/GCA_029201205.1_ASM2920120v1/GCA_029201205.1_ASM2920120v1.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria,,,,,,,,Europe,,,,,,
